Country,C1 low,C1,C1 high,C2 low,C2,C2 high,C3 low,C3,C3 high,C4 low,C4,C4 high,C5 low,C5,C5 high,C6 low,C6,C6 high,C7 low,C7,C7 high,C8 low,C8,C8 high,C9 low,C9,C9 high
BE,1.7600000000000002,2.2,2.64,14.16,17.7,21.24,466.8,583.5,700.2,4.24,5.3,6.359999999999999,557.6,697,836.4,43.519999999999996,54.4,65.28,67.47200000000001,84.34,101.208,14.719999999999999,18.4,22.08,9.84,12.3,14.760000000000002
BG,8.08,10.1,12.12,7.5200000000000005,9.4,11.280000000000001,498.71999999999997,623.4,748.0799999999999,6.959999999999999,8.7,10.44,1480.0,1850,2220.0,25.2,31.5,37.8,50.976,63.72,76.464,11.36,14.2,17.04,17.44,21.8,26.16
CZ,1.8399999999999999,2.3,2.76,11.68,14.6,17.52,507.52,634.4,761.28,4.96,6.2,7.44,931.2,1164,1396.8,25.76,32.2,38.64,65.84,82.3,98.75999999999999,20.240000000000002,25.3,30.36,6.32,7.9,9.48
DK,2.56,3.2,3.8400000000000003,14.559999999999999,18.2,21.84,843.04,1053.8,1264.56,2.4,3.0,3.6,472.8,591,709.2,39.92,49.9,59.879999999999995,77.67999999999999,97.1,116.52,14.4,18.0,21.6,5.92,7.4,8.88
DE,1.8399999999999999,2.3,2.76,22.240000000000002,27.8,33.36,469.36,586.7,704.0400000000001,3.2,4.0,4.8,651.2,814,976.8,53.67999999999999,67.1,80.52,76.776,95.97,115.164,12.88,16.1,19.32,10.64,13.3,15.96
EE,2.32,2.9,3.48,6.88,8.6,10.32,1187.52,1484.4,1781.2800000000002,4.08,5.1,6.119999999999999,430.4,538,645.6,22.4,28.0,33.6,66.4,83.0,99.6,15.680000000000001,19.6,23.520000000000003,5.92,7.4,8.88
IE,0.64,0.8,0.9600000000000001,7.5200000000000005,9.4,11.280000000000001,778.1600000000001,972.7,1167.24,2.2399999999999998,2.8,3.36,262.4,328,393.6,30.080000000000002,37.6,45.120000000000005,49.464,61.83,74.196,14.64,18.3,21.96,8.0,10.0,12.0
EL,4.720000000000001,5.9,7.08,15.440000000000001,19.3,23.16,568.1600000000001,710.2,852.24,5.2,6.5,7.8,923.2,1154,1384.8,16.080000000000002,20.1,24.12,75.84,94.8,113.75999999999999,13.84,17.3,20.76,10.8,13.5,16.2
ES,1.2,1.5,1.8,13.6,17.0,20.4,462.0,577.5,693.0,3.12,3.9,4.68,449.6,562,674.4,27.839999999999996,34.8,41.76,69.296,86.62,103.944,12.08,15.1,18.12,8.72,10.9,13.08
FR,2.16,2.7,3.24,14.559999999999999,18.2,21.84,676.08,845.1,1014.12,3.84,4.8,5.76,482.4,603,723.6,32.239999999999995,40.3,48.36,64.152,80.19,96.228,12.959999999999999,16.2,19.439999999999998,11.92,14.9,17.880000000000003
HR,4.96,6.2,7.44,6.4,8.0,9.6,578.0,722.5,867.0,6.16,7.7,9.24,1038.4,1298,1557.6,20.240000000000002,25.3,30.36,29.52,36.9,44.28,12.16,15.2,18.24,2.08,2.6,3.12
IT,4.0,5.0,6.0,8.72,10.9,13.08,387.44,484.3,581.1600000000001,4.4,5.5,6.6,720.0,900,1080.0,39.839999999999996,49.8,59.76,47.68,59.6,71.52000000000001,14.4,18.0,21.6,9.040000000000001,11.3,13.56
