Country,C1 low,C1 medium,C1 high,C2 low,C2 medium,C2 high,C3 low,C3 medium,C3 high,C4 low,C4 medium,C4 high,C5 low,C5 medium,C5 high,C6 low,C6 medium,C6 high,C7 low,C7 medium,C7 high,C8 low,C8 medium,C8 high,C9 low,C9 medium,C9 high
BE,1.506666667,1.883333333,2.26,13.01333333,16.26666667,19.52,466.04,582.55,699.06,4.44,5.55,6.66,539.3333333,674.1666667,809,42.93333333,53.66666667,64.4,66.70266667,83.37833333,100.054,14.10666667,17.63333333,21.16,10.42666667,13.03333333,15.64
BG,8.16,10.2,12.24,7.546666667,9.433333333,11.32,494.76,618.45,742.14,7.173333333,8.966666667,10.76,1466.533333,1833.166667,2199.8,26.2,32.75,39.3,50.52533333,63.15666667,75.788,11.77333333,14.71666667,17.66,18.13333333,22.66666667,27.2
CZ,1.946666667,2.433333333,2.92,11.18666667,13.98333333,16.78,500.2,625.25,750.3,4.666666667,5.833333333,7,819.6,1024.5,1229.4,27.49333333,34.36666667,41.24,65.66666667,82.08333333,98.5,19.14666667,23.93333333,28.72,7.306666667,9.133333333,10.96
DK,2.133333333,2.666666667,3.2,14.68,18.35,22.02,842.44,1053.05,1263.66,2.52,3.15,3.78,429.2,536.5,643.8,38.62666667,48.28333333,57.94,77.72,97.15,116.58,13.89333333,17.36666667,20.84,6.146666667,7.683333333,9.22
DE,1.48,1.85,2.22,20.33333333,25.41666667,30.5,460.6,575.75,690.9,3.053333333,3.816666667,4.58,607.2,759,910.8,53.74666667,67.18333333,80.62,76.74933333,95.93666667,115.124,12.17333333,15.21666667,18.26,10.22666667,12.78333333,15.34
EE,2.28,2.85,3.42,7.04,8.8,10.56,1209.96,1512.45,1814.94,3.666666667,4.583333333,5.5,369.8666667,462.3333333,554.8,23,28.75,34.5,66.4,83,99.6,14.53333333,18.16666667,21.8,6.48,8.1,9.72
IE,0.826666667,1.033333333,1.24,7.04,8.8,10.56,773.6,967,1160.4,2.52,3.15,3.78,235.3333333,294.1666667,353,31.50666667,39.38333333,47.26,49.176,61.47,73.764,13.44,16.8,20.16,8.053333333,10.06666667,12.08
EL,4.893333333,6.116666667,7.34,15.77333333,19.71666667,23.66,535.16,668.95,802.74,5.346666667,6.683333333,8.02,990.6666667,1238.333333,1486,15.2,19,22.8,75.30666667,94.13333333,112.96,13.52,16.9,20.28,11.58666667,14.48333333,17.38
ES,1.44,1.8,2.16,13.34666667,16.68333333,20.02,460.16,575.2,690.24,2.92,3.65,4.38,485.4666667,606.8333333,728.2,27.89333333,34.86666667,41.84,69.03733333,86.29666667,103.556,12.30666667,15.38333333,18.46,8.746666667,10.93333333,13.12
FR,2.12,2.65,3.18,14.28,17.85,21.42,672.12,840.15,1008.18,3.84,4.8,5.76,478.2666667,597.8333333,717.4,32.37333333,40.46666667,48.56,64.172,80.215,96.258,12.62666667,15.78333333,18.94,12.02666667,15.03333333,18.04
HR,5.08,6.35,7.62,6.626666667,8.283333333,9.94,557.28,696.6,835.92,5.946666667,7.433333333,8.92,971.4666667,1214.333333,1457.2,19.68,24.6,29.52,29.52,36.9,44.28,11.58666667,14.48333333,17.38,2.2,2.75,3.3
IT,5.173333333,6.466666667,7.76,11.21333333,14.01666667,16.82,382.32,477.9,573.48,4.186666667,5.233333333,6.28,746.8,933.5,1120.2,38.74666667,48.43333333,58.12,47.68,59.6,71.52,13.86666667,17.33333333,20.8,10.09333333,12.61666667,15.14
CY,0.893333333,1.116666667,1.34,13.16,16.45,19.74,766.48,958.1,1149.72,4.693333333,5.866666667,7.04,479.7333333,599.6666667,719.6,13.08,16.35,19.62,66.12,82.65,99.18,14.14666667,17.68333333,21.22,9.506666667,11.88333333,14.26
LV,11.25333333,14.06666667,16.88,10.84,13.55,16.26,1029.32,1286.65,1543.98,6.2,7.75,9.3,762.8,953.5,1144.2,24.6,30.75,36.9,61.4,76.75,92.1,13.58666667,16.98333333,20.38,6.64,8.3,9.96
LT,6.093333333,7.616666667,9.14,11.30666667,14.13333333,16.96,857.44,1071.8,1286.16,5.426666667,6.783333333,8.14,786,982.5,1179,36.86666667,46.08333333,55.3,59.85866667,74.82333333,89.788,7.28,9.1,10.92,3.52,4.4,5.28
LU,1.586666667,1.983333333,2.38,16.08,20.1,24.12,430.76,538.45,646.14,3.933333333,4.916666667,5.9,348.8,436,523.2,39.46666667,49.33333333,59.2,77.85333333,97.31666667,116.78,13.2,16.5,19.8,9.68,12.1,14.52
HU,9.493333333,11.86666667,14.24,8.586666667,10.73333333,12.88,606.32,757.9,909.48,4.866666667,6.083333333,7.3,1126.133333,1407.666667,1689.2,27.62666667,34.53333333,41.44,63.36266667,79.20333333,95.044,22.36,27.95,33.54,5.72,7.15,8.58
MT,1.04,1.3,1.56,21.73333333,27.16666667,32.6,156.8,196,235.2,2.786666667,3.483333333,4.18,502.1333333,627.6666667,753.2,8.68,10.85,13.02,1.765333333,2.206666667,2.648,13.61333333,17.01666667,20.42,9.186666667,11.48333333,13.78
NL,1.026666667,1.283333333,1.54,20.58666667,25.73333333,30.88,371.4,464.25,557.1,2.56,3.2,3.84,469.3333333,586.6666667,704,43.94666667,54.93333333,65.92,79.58666667,99.48333333,119.38,10.74666667,13.43333333,16.12,13.17333333,16.46666667,19.76
AT,2.946666667,3.683333333,4.42,14.2,17.75,21.3,577.48,721.85,866.22,3.773333333,4.716666667,5.66,529.0666667,661.3333333,793.6,46.65333333,58.31666667,69.98,79.088,98.86,118.632,17.49333333,21.86666667,26.24,8,10,12
