Country,C1 low,C1 medium,C1 high,C2 low,C2 medium,C2 high,C3 low,C3 medium,C3 high,C4 low,C4 medium,C4 high,C5 low,C5 medium,C5 high,C6 low,C6 medium,C6 high,C7 low,C7 medium,C7 high,C8 low,C8 medium,C8 high,C9 low,C9 medium,C9 high
BE,0.970890411,0.97859589,0.98630137,0.383606557,0.531147541,0.678688525,0.111795737,0.153368883,0.194942029,0.376518219,0.51417004,0.651821862,0.700142197,0.765641664,0.83114113,0.477846326,0.627874369,0.777902412,0.549331188,0.686663985,0.823996782,0.246153846,0.377622378,0.509090909,0.417462483,0.52728513,0.637107776
BG,0.431506849,0.529109589,0.626712329,0.791803279,0.871311475,0.950819672,0.120916668,0.164770047,0.208623426,0,0.200404858,0.400809717,0,0.182189833,0.364379666,0.207515423,0.28996074,0.372406057,0.406517148,0.508146435,0.609775722,0.193006993,0.311188811,0.429370629,0,0.179399727,0.358799454
CZ,0.84760274,0.875856164,0.904109589,0.585245902,0.699180328,0.813114754,0.121660067,0.165699295,0.209738524,0.352226721,0.493927126,0.63562753,0.523107003,0.618112336,0.713117668,0.210880538,0.294167134,0.37745373,0.54108418,0.676355225,0.81162627,0.41958042,0.594405594,0.769230769,0.58526603,0.667121419,0.748976808
DK,0.873287671,0.897260274,0.921232877,0.457377049,0.592622951,0.727868852,0.246379505,0.321598593,0.396817681,0.825910931,0.888663968,0.951417004,0.795591895,0.845183079,0.894774262,0.409422322,0.542344363,0.675266405,0.647021355,0.808776694,0.970532033,0.254545455,0.388111888,0.521678322,0.761255116,0.81377899,0.866302865
DE,0.924657534,0.940068493,0.955479452,0,0.21147541,0.42295082,0.106992237,0.147364508,0.18773678,0.692307692,0.777327935,0.862348178,0.65161749,0.725204408,0.798791326,0.625911385,0.812955693,1,0.642126789,0.802658487,0.963190184,0.156643357,0.265734266,0.374825175,0.51159618,0.605729877,0.699863574
EE,0.873287671,0.897260274,0.921232877,0.806557377,0.883606557,0.960655738,0.385966919,0.49608286,0.606198802,0.582995951,0.686234818,0.789473684,0.814255244,0.860735869,0.907216495,0.195176669,0.274537297,0.353897925,0.556505414,0.695631768,0.834758121,0.215384615,0.339160839,0.462937063,0.593451569,0.673942701,0.754433834
IE,0.955479452,0.965753425,0.976027397,0.86557377,0.932786885,1,0.220360548,0.289074897,0.357789246,0.789473684,0.858299595,0.927125506,0.953430501,0.976715251,1,0.324172743,0.435782389,0.547392036,0.406047806,0.507559757,0.609071709,0.187412587,0.304195804,0.420979021,0.630286494,0.704638472,0.77899045
EL,0.672945205,0.730308219,0.787671233,0.324590164,0.481967213,0.639344262,0.124976769,0.169845173,0.214713577,0.315789474,0.463562753,0.611336032,0.456985425,0.56301102,0.669036616,0.054963545,0.099270892,0.143578239,0.626236213,0.782795266,0.93935432,0.240559441,0.370629371,0.500699301,0.552523874,0.639836289,0.727148704
ES,0.940068493,0.952910959,0.965753425,0.496721311,0.625409836,0.754098361,0.10930821,0.150259475,0.191210739,0.765182186,0.83805668,0.910931174,0.726270885,0.787415571,0.848560256,0.214245653,0.298373528,0.382501402,0.56776962,0.709712025,0.85165443,0.240559441,0.370629371,0.500699301,0.667121419,0.735334243,0.803547067
FR,0.898972603,0.918664384,0.938356164,0.462295082,0.596721311,0.731147541,0.184305708,0.244006347,0.303706987,0.570850202,0.67611336,0.781376518,0.736402417,0.795858514,0.855314611,0.334268087,0.44840157,0.562535053,0.538670421,0.673338027,0.808005632,0.173426573,0.286713287,0.4,0.495225102,0.592087312,0.688949523
HR,0.642123288,0.704623288,0.767123288,0.860655738,0.928688525,0.996721311,0.137271441,0.185213513,0.233155585,0.194331984,0.362348178,0.530364372,0.431389975,0.541681479,0.651972983,0.079641054,0.130117779,0.180594504,0.247410238,0.309262798,0.371115358,0.114685315,0.213286713,0.311888112,0.961800819,0.980900409,1
IT,0.523972603,0.606164384,0.688356164,0.368852459,0.518852459,0.668852459,0.080315659,0.114018785,0.147721912,0.522267206,0.63562753,0.748987854,0.526839673,0.621222894,0.715606114,0.374649467,0.498878295,0.623107123,0.399611117,0.499513896,0.599416675,0.240559441,0.370629371,0.500699301,0.282401091,0.41473397,0.547066849
CY,0.991438356,0.995719178,1,0.42295082,0.563934426,0.704918033,0.224906718,0.294757609,0.3646085,0.388663968,0.524291498,0.659919028,0.74280128,0.801190899,0.859580519,0.063937185,0.110487942,0.157038699,0.554158705,0.692698381,0.831238057,0.243356643,0.374125874,0.504895105,0.58526603,0.667121419,0.748976808
LV,0.220890411,0.35359589,0.48630137,0.550819672,0.670491803,0.790163934,0.31640195,0.409126649,0.501851349,0.048582996,0.240890688,0.433198381,0.584962673,0.669658727,0.754354781,0.199663489,0.280145822,0.360628155,0.491803279,0.614754098,0.737704918,0.26013986,0.395104895,0.53006993,0.593451569,0.673942701,0.754433834
LT,0.559931507,0.636130137,0.712328767,0.51147541,0.637704918,0.763934426,0.246608243,0.321884516,0.397160789,0.194331984,0.362348178,0.530364372,0.562566655,0.650995379,0.739424102,0.249018508,0.341839596,0.434660684,0.484629052,0.605786315,0.726943578,0.022377622,0.097902098,0.173426573,0.888130969,0.919508868,0.950886767
LU,0.929794521,0.944349315,0.95890411,0.280327869,0.445081967,0.609836066,0.091809747,0.128386396,0.164963045,0.437246964,0.564777328,0.692307692,0.813722005,0.860291504,0.906861002,0.409422322,0.542344363,0.675266405,0.647691844,0.809614804,0.971537765,0.198601399,0.318181818,0.437762238,0.466575716,0.568212824,0.669849932
HU,0.220890411,0.35359589,0.48630137,0.595081967,0.707377049,0.819672131,0.14687844,0.197222262,0.247566084,0.412955466,0.544534413,0.67611336,0.270351937,0.407483114,0.544614291,0.238923163,0.329220415,0.419517667,0.512722518,0.640903148,0.769083778,0.573426573,0.786713287,1,0.642564802,0.714870396,0.787175989
MT,0.950342466,0.961472603,0.97260274,0.059016393,0.260655738,0.462295082,0,0.013624212,0.027248424,0.898785425,0.949392713,1,0.748666904,0.806078919,0.863490935,0,0.030566461,0.061132922,0,0,0,0.215384615,0.339160839,0.462937063,0.626193724,0.701227831,0.776261937
NL,0.965753425,0.974315068,0.982876712,0.054098361,0.256557377,0.459016393,0.080344251,0.114054525,0.1477648,0.825910931,0.888663968,0.951417004,0.756132243,0.812300036,0.868467828,0.458777342,0.604038138,0.749298934,0.666666667,0.833333333,1,0.106293706,0.202797203,0.299300699,0.36425648,0.482946794,0.601637108
AT,0.796232877,0.833047945,0.869863014,0.408196721,0.551639344,0.695081967,0.146678294,0.19697208,0.247265865,0.534412955,0.645748988,0.75708502,0.703874867,0.768752222,0.833629577,0.515984296,0.675546831,0.835109366,0.636964028,0.796205035,0.955446042,0.332867133,0.486013986,0.639160839,0.548431105,0.636425648,0.724420191
PL,0.51369863,0.59760274,0.681506849,0.659016393,0.760655738,0.862295082,0.123890263,0.168487041,0.213083818,0.267206478,0.423076923,0.578947368,0.286349093,0.420814077,0.555279062,0.242288278,0.333426809,0.424565339,0.486774615,0.608468269,0.730161923,0.316083916,0.465034965,0.613986014,0.839017735,0.878581173,0.918144611
PT,0.775684932,0.815924658,0.856164384,0.137704918,0.326229508,0.514754098,0.123118272,0.167522052,0.211925832,0.510121457,0.625506073,0.740890688,0.773729115,0.826964095,0.880199076,0.212002243,0.295569265,0.379136287,0.567501425,0.709376781,0.851252137,0,0.06993007,0.13986014,0.646657572,0.718281037,0.789904502
RO,0,0.169520548,0.339041096,0.17704918,0.359016393,0.540983607,0.049807717,0.075883858,0.101959999,0.036437247,0.230769231,0.425101215,0.333807323,0.460362602,0.586917881,0.025799215,0.06281548,0.099831744,0.266183915,0.332729894,0.399275872,0.338461538,0.493006993,0.647552448,0.540245566,0.629604366,0.718963165
SI,0.729452055,0.77739726,0.825342466,0.63442623,0.740163934,0.845901639,0.119687201,0.163233213,0.206779225,0.497975709,0.615384615,0.732793522,0.550835407,0.641219339,0.731603271,0.484576556,0.636287156,0.787997757,0.384860371,0.481075463,0.577290556,0.109090909,0.206293706,0.303496503,0.699863574,0.762619372,0.825375171
SK,0.801369863,0.837328767,0.873287671,0.639344262,0.744262295,0.849180328,0.098814851,0.137142775,0.1754707,0.510121457,0.625506073,0.740890688,0.46231781,0.567454675,0.672591539,0.0448682,0.086651711,0.128435222,0.426430655,0.533038318,0.639645982,0.397202797,0.566433566,0.735664336,0.777626194,0.827421555,0.877216917
FI,0.981164384,0.987157534,0.993150685,0.693442623,0.789344262,0.885245902,0.648501051,0.824250525,1,0.607287449,0.706477733,0.805668016,0.930501244,0.957607536,0.984713829,0.333146383,0.446999439,0.560852496,0.563210299,0.704012873,0.844815448,0.13986014,0.244755245,0.34965035,0.777626194,0.827421555,0.877216917
SE,0.883561644,0.905821918,0.928082192,0.649180328,0.752459016,0.855737705,0.615648544,0.783184892,0.95072124,0.886639676,0.939271255,0.991902834,0.938499822,0.964273018,0.990046214,0.410544027,0.543746495,0.676948962,0.636964028,0.796205035,0.955446042,0.19020979,0.307692308,0.425174825,0.630286494,0.704638472,0.77899045
