Country,C1 low,C1 medium,C1 high,C2 low,C2 medium,C2 high,C3 low,C3 medium,C3 high,C4 low,C4 medium,C4 high,C5 low,C5 medium,C5 high,C6 low,C6 medium,C6 high,C7 low,C7 medium,C7 high,C8 low,C8 medium,C8 high,C9 low,C9 medium,C9 high
BE,0.004956084,0.004995418,0.005034752,0.001886123,0.002611555,0.003336986,0.058568631,0.080348372,0.102128113,0.000786342,0.001073822,0.001361302,0.293020111,0.320432629,0.347845148,0.006996241,0.009192831,0.01138942,0.012070926,0.015088657,0.018106389,0.001038973,0.001593879,0.002148785,0.001940935,0.002451541,0.002962146
BG,0.002202704,0.002700935,0.003199165,0.003893151,0.004284078,0.004675005,0.063346992,0.086321324,0.109295656,0,0.000418537,0.000837074,0,0.076249204,0.152498407,0.003038274,0.004245372,0.005452469,0.00893275,0.011165938,0.013399125,0.000814649,0.001313474,0.001812299,0,0.000834095,0.00166819
CZ,0.00432674,0.004470965,0.004615189,0.002877546,0.003437741,0.003997936,0.063736451,0.086808148,0.109879844,0.000735611,0.001031546,0.001327481,0.218928202,0.258689372,0.298450542,0.003087543,0.004306958,0.005526373,0.011889707,0.014862134,0.017834561,0.001770977,0.002508884,0.003246791,0.002721115,0.003101691,0.003482266
DK,0.004457853,0.004580226,0.004702598,0.002248839,0.002913818,0.003578797,0.129075675,0.168482178,0.20788868,0.00172488,0.001855937,0.001986994,0.332967255,0.353721916,0.374476577,0.005994432,0.007940569,0.009886707,0.014217556,0.017771945,0.021326334,0.001074393,0.001638153,0.002201914,0.003539353,0.003783555,0.004027758
DE,0.00472008,0.004798748,0.004877416,0,0.001039786,0.002079571,0.056052127,0.077202742,0.098353358,0.001445855,0.001623416,0.001800977,0.272711786,0.303509026,0.334306265,0.00916409,0.011902642,0.014641194,0.014110003,0.017637504,0.021165005,0.000661165,0.001121619,0.001582072,0.002378597,0.002816259,0.003253921
EE,0.004457853,0.004580226,0.004702598,0.003965694,0.004344531,0.004723367,0.202204078,0.259892681,0.317581285,0.001217562,0.001433172,0.001648782,0.340778149,0.360230994,0.37968384,0.00285762,0.004019554,0.005181488,0.012228571,0.015285714,0.018342857,0.000909101,0.001431539,0.001953978,0.002759173,0.003133405,0.003507638
IE,0.004877416,0.004929861,0.004982307,0.004255867,0.004586341,0.004916816,0.115444613,0.15144335,0.187442087,0.001648782,0.001792522,0.001936262,0.399025101,0.408770122,0.418515142,0.004746276,0.006380375,0.008014473,0.008922437,0.011153046,0.013383656,0.000791036,0.001283958,0.00177688,0.002930432,0.003276121,0.003621811
EL,0.003435169,0.003727989,0.004020809,0.00159595,0.002369744,0.003143538,0.065474037,0.08898013,0.112486223,0.000659513,0.000968131,0.001276749,0.19125532,0.235628637,0.280001954,0.000804732,0.001453444,0.002102157,0.013760826,0.017201032,0.020641239,0.00101536,0.001564363,0.002113365,0.002568885,0.002974832,0.00338078
ES,0.004798748,0.004864305,0.004929861,0.002442287,0.003075025,0.003707763,0.057265441,0.078719385,0.100173329,0.00159805,0.001750246,0.001902441,0.303955362,0.329545339,0.355135316,0.003136812,0.004368545,0.005600277,0.012476089,0.015595112,0.018714134,0.00101536,0.001564363,0.002113365,0.003101691,0.003418837,0.003735983
FR,0.004588967,0.004689487,0.004790007,0.00227302,0.002933969,0.003594918,0.096555855,0.127832403,0.15910895,0.001192196,0.001412034,0.001631872,0.308195562,0.333078839,0.357962115,0.004894084,0.006565135,0.008236185,0.011836668,0.014795835,0.017755001,0.000732004,0.001210167,0.001688331,0.002302482,0.00275283,0.003203178
HR,0.003277833,0.003596876,0.003915918,0.004231686,0.00456619,0.004900695,0.071915088,0.097031444,0.1221478,0.000405854,0.000756749,0.001107643,0.180543237,0.226701901,0.272860565,0.00116604,0.00190508,0.002644119,0.005436558,0.006795697,0.008154836,0.000484067,0.000900246,0.001316426,0.004471763,0.004560564,0.004649365
IT,0.002674712,0.003094275,0.003513837,0.00181358,0.002551102,0.003288624,0.042076543,0.059733263,0.077389982,0.001090733,0.001327481,0.001564229,0.22049038,0.259991187,0.299491994,0.005485316,0.007304174,0.009123032,0.008780998,0.010976248,0.013171497,0.00101536,0.001564363,0.002113365,0.001312986,0.001928249,0.002543513
CY,0.005060975,0.005082827,0.005104679,0.002079571,0.002772762,0.003465952,0.117826304,0.154420464,0.191014624,0.000811708,0.00109496,0.001378213,0.310873583,0.335310523,0.359747463,0.000936117,0.001617675,0.002299234,0.012177005,0.015221256,0.018265508,0.001027166,0.001579121,0.002131075,0.002721115,0.003101691,0.003482266
LV,0.001127575,0.001804994,0.002482412,0.002708279,0.003296685,0.003885091,0.16575971,0.214337221,0.262914733,0.000101464,0.00050309,0.000904716,0.244815736,0.280262317,0.315708898,0.002923312,0.004101669,0.005280027,0.010806816,0.01350852,0.016210224,0.001098006,0.00166767,0.002237334,0.002759173,0.003133405,0.003507638
LT,0.002858271,0.00324724,0.00363621,0.00251483,0.003135478,0.003756125,0.129195509,0.16863197,0.208068431,0.000405854,0.000756749,0.001107643,0.235442663,0.272451423,0.309460183,0.003645928,0.00500494,0.006363952,0.01064917,0.013311463,0.015973755,9.45E-05,0.000413228,0.000732004,0.004129245,0.004275132,0.004421019
LU,0.004746303,0.0048206,0.004894898,0.001378321,0.002188386,0.002998452,0.048098177,0.067260305,0.086422433,0.000913172,0.001179513,0.001445855,0.34055498,0.360045021,0.379535061,0.005994432,0.007940569,0.009886707,0.014232289,0.017790361,0.021348433,0.000838262,0.001342991,0.001847719,0.002169281,0.002641829,0.003114377
HU,0.001127575,0.001804994,0.002482412,0.002925908,0.003478043,0.004030177,0.076948096,0.103322704,0.129697312,0.00086244,0.001137237,0.001412034,0.113146379,0.170537853,0.227929327,0.00349812,0.00482018,0.00614224,0.011266492,0.014083115,0.016899738,0.002420335,0.003320581,0.004220828,0.002987518,0.003323693,0.003659868
MT,0.004851193,0.004908009,0.004964825,0.000290173,0.001281596,0.00227302,0,0.007137584,0.014275168,0.001877075,0.001982766,0.002088457,0.313328435,0.337356233,0.361384031,0,0.000447529,0.000895059,0,0,0,0.000909101,0.001431539,0.001953978,0.002911403,0.003260264,0.003609125
NL,0.004929861,0.004973566,0.00501727,0.000265992,0.001261445,0.002256899,0.042091522,0.059751987,0.077412451,0.00172488,0.001855937,0.001986994,0.316452793,0.339959864,0.363466936,0.006717048,0.00884384,0.010970631,0.014649239,0.018311549,0.021973859,0.000448647,0.000855972,0.001263297,0.001693561,0.002245396,0.00279723
