Country,C1 low,C1 medium,C1 high,C2 low,C2 medium,C2 high,C3 low,C3 medium,C3 high,C4 low,C4 medium,C4 high,C5 low,C5 medium,C5 high,C6 low,C6 medium,C6 high,C7 low,C7 medium,C7 high,C8 low,C8 medium,C8 high,C9 low,C9 medium,C9 high
BE,0.936206897,0.950862069,0.965517241,0.493670886,0.618670886,0.743670886,0.111795737,0.153368883,0.194942029,0.49382716,0.615226337,0.736625514,0.695288754,0.763677812,0.832066869,0.464508802,0.61641113,0.768313458,0.553650794,0.692063492,0.83047619,0.234972678,0.359289617,0.483606557,0.508695652,0.605072464,0.701449275
BG,0.424137931,0.524137931,0.624137931,0.768987342,0.848101266,0.92721519,0.120916668,0.164770047,0.208623426,0,0.203703704,0.407407407,0,0.184270517,0.368541033,0.218057922,0.30834753,0.398637138,0.413299916,0.516624896,0.619949875,0.183060109,0.294398907,0.405737705,0,0.18115942,0.362318841
CZ,0.868965517,0.894827586,0.920689655,0.555379747,0.670094937,0.784810127,0.121660067,0.165699295,0.209738524,0.50617284,0.625514403,0.744855967,0.507218845,0.606952888,0.70668693,0.238500852,0.333901193,0.429301533,0.542690058,0.678362573,0.814035088,0.412568306,0.581284153,0.75,0.57826087,0.663043478,0.747826087
DK,0.936206897,0.950862069,0.965517241,0.375,0.519778481,0.664556962,0.246379505,0.321598593,0.396817681,0.765432099,0.841563786,0.917695473,0.801861702,0.852488602,0.903115502,0.405451448,0.542589438,0.679727428,0.64695071,0.808688388,0.970426065,0.245901639,0.37295082,0.5,0.72173913,0.782608696,0.843478261
DE,0.925862069,0.942241379,0.95862069,0.05221519,0.250791139,0.449367089,0.106992237,0.147364508,0.18773678,0.740740741,0.820987654,0.901234568,0.659954407,0.734232523,0.808510638,0.618966496,0.809483248,1,0.641403509,0.801754386,0.962105263,0.166666667,0.273907104,0.381147541,0.473913043,0.576086957,0.67826087
EE,0.853448276,0.881896552,0.910344828,0.75,0.832278481,0.914556962,0.385966919,0.49608286,0.606198802,0.555555556,0.666666667,0.777777778,0.845744681,0.889057751,0.932370821,0.176036343,0.255820557,0.33560477,0.554720134,0.693400167,0.832080201,0.289617486,0.427595628,0.56557377,0.686956522,0.753623188,0.820289855
IE,0.972413793,0.981034483,0.989655172,0.878164557,0.939082278,1,0.220360548,0.289074897,0.357789246,0.75308642,0.83127572,0.909465021,0.94718845,0.973594225,1,0.319136854,0.434696195,0.550255537,0.408688388,0.510860485,0.613032581,0.191256831,0.304644809,0.418032787,0.665217391,0.735507246,0.805797101
EL,0.698275862,0.752586207,0.806896552,0.299050633,0.456487342,0.613924051,0.124976769,0.169845173,0.214713577,0.283950617,0.440329218,0.596707819,0.390387538,0.509593465,0.628799392,0.052243044,0.101078932,0.149914821,0.624227235,0.780284043,0.936340852,0.232240437,0.355874317,0.479508197,0.573913043,0.65942029,0.744927536
ES,0.936206897,0.950862069,0.965517241,0.474683544,0.602848101,0.731012658,0.10930821,0.150259475,0.191210739,0.740740741,0.820987654,0.901234568,0.755699088,0.814019757,0.872340426,0.241908007,0.338160136,0.434412266,0.578913952,0.723642439,0.868370927,0.240437158,0.366120219,0.491803279,0.639130435,0.713768116,0.788405797
FR,0.884482759,0.907758621,0.931034483,0.403481013,0.543512658,0.683544304,0.184305708,0.244006347,0.303706987,0.580246914,0.687242798,0.794238683,0.751709726,0.810695289,0.869680851,0.303236797,0.414821124,0.526405451,0.537744361,0.672180451,0.806616541,0.180327869,0.290983607,0.401639344,0.443478261,0.550724638,0.657971014
HR,0.656896552,0.718103448,0.779310345,0.840189873,0.907436709,0.974683544,0.137271441,0.185213513,0.233155585,0.308641975,0.46090535,0.613168724,0.332256839,0.461151216,0.590045593,0.095400341,0.155025554,0.214650767,0.246616541,0.308270677,0.369924812,0.147540984,0.25,0.352459016,0.956521739,0.97826087,1
IT,0.631034483,0.696551724,0.762068966,0.474683544,0.602848101,0.731012658,0.080315659,0.114018785,0.147721912,0.555555556,0.666666667,0.777777778,0.55281155,0.644946809,0.737082067,0.378194208,0.508517888,0.638841567,0.398329156,0.497911445,0.597493734,0.229508197,0.352459016,0.475409836,0.447826087,0.554347826,0.660869565
CY,0.956896552,0.968103448,0.979310345,0.503164557,0.626582278,0.75,0.224906718,0.294757609,0.3646085,0.555555556,0.666666667,0.777777778,0.800721884,0.851538754,0.902355623,0.039750142,0.085462805,0.131175468,0.552380952,0.69047619,0.828571429,0.245901639,0.37295082,0.5,0.660869565,0.731884058,0.802898551
