Country,C1 low,C1 medium,C1 high,C2 low,C2 medium,C2 high,C3 low,C3 medium,C3 high,C4 low,C4 medium,C4 high,C5 low,C5 medium,C5 high,C6 low,C6 medium,C6 high,C7 low,C7 medium,C7 high,C8 low,C8 medium,C8 high,C9 low,C9 medium,C9 high
BE,0.004729855,0.004803895,0.004877936,0.002431739,0.003047468,0.003663197,0.058963253,0.080889741,0.102816229,0.000885127,0.00110272,0.001320314,0.28896295,0.317385535,0.34580812,0.006750755,0.008958368,0.01116598,0.012164701,0.015205876,0.018247051,0.001014805,0.001551708,0.002088611,0.002230658,0.002653275,0.003075893
BG,0.002142807,0.002648022,0.003153237,0.003787901,0.004177603,0.004567305,0.06377381,0.086902937,0.110032065,0,0.000365115,0.00073023,0,0.076583077,0.153166154,0.003169059,0.004481247,0.005793435,0.00908094,0.011351175,0.01362141,0.000790604,0.001271457,0.001752309,0,0.000794394,0.001588788
CZ,0.004390142,0.004520801,0.00465146,0.002735707,0.003300774,0.003865842,0.064165893,0.087393041,0.110620189,0.000907255,0.001121161,0.001335066,0.210800841,0.252250444,0.293700047,0.003466158,0.004852621,0.006239084,0.011923874,0.014904842,0.01788581,0.001781809,0.002510463,0.003239117,0.002535705,0.002907481,0.003279257
DK,0.004729855,0.004803895,0.004877936,0.001847187,0.002560341,0.003273495,0.129945357,0.169617372,0.209289386,0.001371947,0.001508404,0.001644861,0.333254812,0.35429542,0.375336028,0.005892468,0.007885509,0.00987855,0.014214667,0.017768334,0.021322001,0.001062006,0.001610708,0.002159411,0.003164865,0.003431781,0.003698697
DE,0.004677592,0.004760342,0.004843093,0.000257203,0.001235355,0.002213506,0.056429793,0.077722917,0.09901604,0.00132769,0.001471523,0.001615356,0.274277948,0.305148033,0.336018119,0.008995505,0.011764305,0.014533105,0.014092785,0.017615981,0.021139178,0.000719804,0.001182956,0.001646109,0.002078134,0.002526172,0.00297421
EE,0.004311747,0.004455471,0.004599196,0.003694373,0.004099663,0.004504953,0.203566483,0.261643778,0.319721074,0.000995768,0.001194921,0.001394075,0.351492637,0.369493608,0.387494579,0.002558355,0.003717867,0.004877379,0.012188196,0.015235245,0.018282294,0.001250807,0.00184671,0.002442613,0.003012341,0.003304678,0.003597015
IE,0.004912778,0.004956331,0.004999884,0.00432569,0.00462576,0.004925831,0.116222452,0.15246374,0.188705028,0.001349818,0.001489963,0.001630109,0.393652806,0.404627082,0.415601358,0.004638049,0.006317485,0.007996921,0.008979617,0.011224521,0.013469425,0.000826004,0.001315707,0.001805409,0.002917014,0.003225239,0.003533463
EL,0.003527793,0.003802177,0.00407656,0.001473073,0.002248579,0.003024086,0.065915186,0.089579658,0.113244129,0.000508948,0.000789238,0.001069528,0.162245591,0.211787736,0.261329881,0.000759254,0.001468991,0.002178728,0.013715392,0.01714424,0.020573087,0.001003005,0.001536958,0.002070911,0.002516639,0.002891593,0.003266547
ES,0.004729855,0.004803895,0.004877936,0.002338211,0.002969528,0.003600845,0.057651283,0.079249778,0.100848274,0.00132769,0.001471523,0.001615356,0.314069567,0.338307716,0.362545865,0.003515674,0.004914517,0.006313359,0.012719778,0.015899722,0.019079666,0.001038405,0.001581208,0.002124011,0.002802621,0.003129911,0.003457202
FR,0.004468537,0.00458613,0.004703724,0.001987479,0.002677251,0.003367024,0.097206426,0.128693708,0.16018099,0.001040024,0.001231801,0.001423579,0.312411583,0.336926063,0.361440542,0.004406972,0.006028639,0.007650306,0.011815208,0.01476901,0.017722812,0.000778804,0.001256707,0.001734609,0.001944676,0.002414957,0.002885238
