Country,d+,d-,Ci
BE,8.584158186,0.41987899,0.046632303
BG,8.809392366,0.216208131,0.023954986
CZ,8.636730941,0.369199146,0.040995116
DK,8.471739216,0.533725302,0.059266826
DE,8.593991974,0.410502328,0.045588604
EE,8.366448368,0.640576444,0.071119649
IE,8.449117222,0.555332832,0.061673154
EL,8.655329895,0.352121391,0.039092234
ES,8.581439643,0.422458952,0.046919559
FR,8.524343681,0.480497703,0.05335993
HR,8.670507421,0.337331919,0.037448705
IT,8.661921131,0.343134653,0.038104667
CY,8.518695868,0.486453846,0.054019518
LV,8.520677783,0.488127803,0.05418341
LT,8.573308329,0.43535236,0.04832598
LU,8.528278779,0.474976514,0.052756086
HU,8.673767359,0.336742465,0.037372188
MT,8.696593823,0.307782819,0.034181469
NL,8.597105993,0.406613377,0.045160601
AT,8.545756131,0.458867041,0.05095905
PL,8.730997278,0.280752241,0.031154022
PT,8.553209098,0.450883942,0.050075442
RO,8.758198275,0.252713249,0.028045248
SI,8.608169071,0.396663685,0.044050089
SK,8.649198868,0.357033854,0.039642974
FI,8.144536726,0.869178987,0.096428489
SE,8.181956437,0.829788262,0.092078536
