Country,C1 low,C1 medium,C1 high,C2 low,C2 medium,C2 high,C3 low,C3 medium,C3 high,C4 low,C4 medium,C4 high,C5 low,C5 medium,C5 high,C6 low,C6 medium,C6 high,C7 low,C7 medium,C7 high,C8 low,C8 medium,C8 high,C9 low,C9 medium,C9 high
BE,0.918138587,0.937330163,0.956521739,0.503593429,0.628850103,0.754106776,0.110958816,0.152763924,0.194569032,0.5056899,0.624110953,0.742532006,0.700843216,0.768787584,0.836731951,0.476137522,0.625335928,0.774534334,0.55211935,0.693901554,0.835683758,0.259964458,0.394262503,0.528560548,0.4624,0.566666667,0.670933333
BG,0.409646739,0.513586957,0.617527174,0.819301848,0.891940452,0.964579055,0.121263877,0.16564525,0.210026624,0.068278805,0.259601707,0.450924609,0,0.184751571,0.369503141,0.24353628,0.334584376,0.425632472,0.414574146,0.521970049,0.629365952,0.171109419,0.283193704,0.395277989,0,0.181333333,0.362666667
CZ,0.88451087,0.909307065,0.934103261,0.609086242,0.71676078,0.824435318,0.123215811,0.168085167,0.212954524,0.469416785,0.593883357,0.718349929,0.488997884,0.592249807,0.69550173,0.261514225,0.357056807,0.452599388,0.543310925,0.682891023,0.82247112,0.451891343,0.634171109,0.816450876,0.6496,0.722666667,0.795733333
DK,0.870244565,0.897418478,0.924592391,0.407340862,0.54863963,0.689938398,0.2460154,0.321584654,0.397153909,0.812944523,0.880156472,0.947368421,0.784089764,0.838159707,0.89222965,0.41627282,0.550505051,0.684737281,0.645792475,0.81099296,0.976193445,0.251840569,0.384107642,0.516374714,0.7192,0.780666667,0.842133333
DE,0.92017663,0.939028533,0.957880435,0.080852156,0.276565708,0.472279261,0.109006882,0.150324007,0.191641131,0.727596017,0.809032717,0.890469417,0.649544798,0.726038902,0.802533006,0.626447966,0.813223983,1,0.637539536,0.800676786,0.963814037,0.186341711,0.30223407,0.418126428,0.4744,0.576666667,0.678933333
EE,0.859035326,0.888077446,0.917119565,0.848562628,0.916324435,0.984086242,0.37788574,0.486422579,0.594959418,0.629445235,0.727240398,0.825035562,0.828938086,0.875533309,0.922128532,0.199054768,0.278982485,0.358910203,0.549545975,0.690684835,0.831823695,0.276212237,0.414572226,0.552932216,0.6992,0.764,0.8288
IE,0.970108696,0.980638587,0.991168478,0.848562628,0.916324435,0.984086242,0.221314828,0.290708939,0.360103051,0.812944523,0.880156472,0.947368421,0.930627877,0.960274801,0.989921725,0.317301455,0.426790844,0.536280234,0.403101654,0.507629434,0.612157214,0.234577304,0.362528561,0.490479817,0.6048,0.685333333,0.765866667
EL,0.659307065,0.721637228,0.783967391,0.344199179,0.496021561,0.647843943,0.135759855,0.183765223,0.23177059,0.36059744,0.503200569,0.645803698,0.35969362,0.484496254,0.609298888,0.090631081,0.143452877,0.196274673,0.625273492,0.785344231,0.945414971,0.237623762,0.366336634,0.495049505,0.3928,0.508666667,0.624533333
ES,0.923233696,0.941576087,0.959918478,0.484342916,0.612808008,0.741273101,0.108849005,0.15012666,0.191404316,0.748933144,0.826813656,0.904694168,0.741559445,0.802717775,0.863876104,0.267074414,0.364007043,0.460939672,0.571969482,0.718714219,0.865458956,0.191419142,0.308580858,0.425742574,0.5632,0.650666667,0.738133333
FR,0.871263587,0.898267663,0.925271739,0.430441478,0.567890144,0.705338809,0.184902654,0.245193722,0.30548479,0.60170697,0.704125178,0.806543385,0.747001713,0.807252998,0.867504283,0.329348531,0.44184969,0.554350848,0.530602759,0.667005816,0.803408872,0.203604976,0.323813151,0.444021325,0.3664,0.486666667,0.606933333
HR,0.645040761,0.709748641,0.774456522,0.872433265,0.936216632,1,0.143696761,0.193686356,0.24367595,0.26458037,0.423186344,0.581792319,0.374206336,0.496590184,0.618974032,0.152905199,0.221295524,0.289685849,0.23597964,0.298726916,0.361474193,0.164001015,0.2743082,0.384615385,0.956,0.978,1
IT,0.637907609,0.703804348,0.769701087,0.607546201,0.715477413,0.823408624,0.080919131,0.115214318,0.149509505,0.546230441,0.657894737,0.769559033,0.544025263,0.638105956,0.73218665,0.417940877,0.552590121,0.687239366,0.390382152,0.491730056,0.593077961,0.250825083,0.382838284,0.514851485,0.4824,0.583333333,0.684266667
CY,0.965013587,0.976392663,0.987771739,0.495123203,0.621791581,0.748459959,0.218760092,0.287515519,0.356270946,0.46514936,0.590327169,0.715504979,0.745893103,0.806329156,0.86676521,0.06116208,0.106616625,0.15207117,0.54716532,0.687709016,0.828252712,0.261487687,0.39616654,0.530845392,0.5176,0.612666667,0.707733333
LV,0.173233696,0.316576087,0.459918478,0.629106776,0.733444559,0.837782341,0.313070062,0.405402981,0.497735901,0.224039829,0.38940256,0.554765292,0.531931333,0.628027682,0.72412403,0.221295524,0.306783431,0.392271337,0.50703427,0.637545204,0.768056138,0.240162478,0.369510028,0.498857578,0.6896,0.756,0.8224
LT,0.567595109,0.645210598,0.722826087,0.602156057,0.710985626,0.819815195,0.25139757,0.328312367,0.405227163,0.347795164,0.492532006,0.637268848,0.514395136,0.613414183,0.712433231,0.391807988,0.519924011,0.648040033,0.493929329,0.621164027,0.748398726,0,0.069306931,0.138613861,0.8768,0.912,0.9472
LU,0.912024457,0.932235054,0.952445652,0.326488706,0.481262834,0.636036961,0.098299952,0.136940344,0.175580736,0.586770982,0.691678521,0.79658606,0.84486176,0.888803037,0.932744314,0.427949217,0.565100547,0.702251877,0.64692612,0.812410017,0.977893913,0.225437928,0.351104341,0.476770754,0.5072,0.604,0.7008
HU,0.307744565,0.428668478,0.549592391,0.759240246,0.841889117,0.924537988,0.161292869,0.21568149,0.270070112,0.437411095,0.567211949,0.697012802,0.257298351,0.399166863,0.541035375,0.263367621,0.359373552,0.455379483,0.523721531,0.658404281,0.79308703,0.574257426,0.787128713,1,0.7448,0.802,0.8592
MT,0.953804348,0.96705163,0.980298913,0,0.209188912,0.418377823,0,0.014065404,0.028130808,0.77027027,0.844594595,0.918918919,0.728961602,0.792219572,0.855477542,0,0.030164026,0.060328051,0,0.003752366,0.007504733,0.241177964,0.370779386,0.500380807,0.5368,0.628666667,0.720533333
NL,0.95482337,0.967900815,0.980978261,0.066221766,0.264373717,0.462525667,0.077000911,0.110316543,0.143632175,0.806543385,0.874822191,0.943100996,0.753754157,0.812880035,0.872005913,0.490223334,0.642943193,0.795663053,0.661663511,0.830831756,1,0.132013201,0.234323432,0.336633663,0.2976,0.429333333,0.561066667
AT,0.808084239,0.845618207,0.883152174,0.435061602,0.571740246,0.708418891,0.15094475,0.202746342,0.254547934,0.612375533,0.713015647,0.813655761,0.708603487,0.775254476,0.841905466,0.52784728,0.689973126,0.852098971,0.657423677,0.825531963,0.993640249,0.388931201,0.555470932,0.722010663,0.608,0.688,0.768
PL,0.489130435,0.57982337,0.670516304,0.6637577,0.762320329,0.860882957,0.124234835,0.169358948,0.214483061,0.256045519,0.416073969,0.576102418,0.235327712,0.380857997,0.526388282,0.265221018,0.361690297,0.458159577,0.486878054,0.612349934,0.737821814,0.311246509,0.458365067,0.605483625,0.8448,0.885333333,0.925866667
PT,0.771399457,0.815047554,0.858695652,0.174024641,0.354209446,0.534394251,0.131798578,0.178813626,0.225828675,0.454480797,0.5814367,0.708392603,0.778949844,0.83387644,0.888803037,0.202390881,0.283152627,0.363914373,0.560701046,0.704628674,0.848556303,0.017263265,0.090886012,0.164508759,0.72,0.781333333,0.842666667
RO,0,0.172214674,0.344429348,0.36036961,0.50949692,0.65862423,0.071934495,0.103983523,0.136032551,0,0.202702703,0.405405405,0.280881513,0.418819498,0.556757483,0.021870077,0.057501622,0.093133167,0.301617712,0.380774507,0.459931301,0.364559533,0.525006347,0.685453161,0.5408,0.632,0.7232
SI,0.765285326,0.809952446,0.854619565,0.612936345,0.719969199,0.827002053,0.120890713,0.165178796,0.209466878,0.571834993,0.679231863,0.786628734,0.581314879,0.669180636,0.757046394,0.518580298,0.678389399,0.838198499,0.433936811,0.54617338,0.658409949,0.112718964,0.210205636,0.307692308,0.6968,0.762,0.8272
SK,0.786684783,0.827785326,0.86888587,0.72150924,0.810446612,0.899383984,0.111375037,0.1532842,0.195193363,0.571834993,0.679231863,0.786628734,0.455336446,0.564198609,0.673060772,0.221666203,0.30724678,0.392827356,0.432553763,0.54444457,0.656335378,0.46458492,0.650038081,0.835491241,0.8072,0.854,0.9008
FI,0.983355978,0.991677989,1,0.666067762,0.76424538,0.862422998,0.647912794,0.823956397,1,0.661450925,0.753911807,0.846372688,0.929418484,0.959266973,0.989115463,0.343619683,0.459688629,0.575757576,0.56088243,0.704855404,0.848828377,0.19598883,0.314292968,0.432597106,0.7648,0.818666667,0.872533333
SE,0.872282609,0.899116848,0.925951087,0.501283368,0.626925051,0.752566735,0.599186216,0.763048174,0.926910132,0.891891892,0.945945946,1,0.945745288,0.972872644,1,0.386062459,0.5127421,0.63942174,0.634569385,0.796964097,0.95935881,0.291444529,0.433612592,0.575780655,0.4656,0.569333333,0.673066667
