Country,d+,d-,Ci
BE,8.566356754,0.437570299,0.048597717
BG,8.812155044,0.214952754,0.023811918
CZ,8.633286523,0.372731414,0.041386928
DK,8.446093545,0.558961729,0.062071993
DE,8.582006298,0.422514262,0.046922461
EE,8.348764882,0.657948133,0.07305086
IE,8.418924506,0.585120781,0.064984211
EL,8.674578232,0.33385674,0.03706046
ES,8.556783131,0.446814178,0.049626184
FR,8.505812111,0.498631094,0.055376116
HR,8.670224184,0.337756698,0.037495273
IT,8.646247847,0.358674325,0.039830919
CY,8.487019255,0.51778029,0.057500479
LV,8.498576524,0.509400285,0.056549911
LT,8.54160783,0.46565737,0.051697975
LU,8.524281963,0.478849003,0.053186942
HU,8.688807671,0.322521626,0.035790683
MT,8.656180304,0.347609793,0.038607052
NL,8.57004202,0.43351742,0.048149559
AT,8.532624531,0.471730462,0.052389145
PL,8.723009963,0.28861204,0.032026647
PT,8.532998071,0.470749679,0.052283748
RO,8.756053392,0.253885268,0.028178357
SI,8.603256958,0.401669927,0.044605573
SK,8.655610177,0.350695695,0.038938906
FI,8.135775635,0.876717372,0.097278009
SE,8.160199621,0.850974692,0.094435493
