Country,C1 low,C1 medium,C1 high,C2 low,C2 medium,C2 high,C3 low,C3 medium,C3 high,C4 low,C4 medium,C4 high,C5 low,C5 medium,C5 high,C6 low,C6 medium,C6 high,C7 low,C7 medium,C7 high,C8 low,C8 medium,C8 high,C9 low,C9 medium,C9 high
BE,0.004020369,0.004104406,0.004188443,0.002715781,0.003391265,0.00406675,0.059087818,0.081349885,0.103611953,0.000934926,0.001153865,0.001372803,0.287469222,0.315338386,0.34320755,0.007052824,0.009262837,0.01147285,0.012330322,0.015496703,0.018663084,0.001099164,0.001666993,0.002234823,0.001992781,0.002442134,0.002891486
BG,0.001793772,0.002248908,0.002704044,0.004418334,0.00481006,0.005201786,0.064575472,0.088209453,0.111843434,0.000126235,0.000479955,0.000833675,0,0.075780701,0.151561402,0.0036074,0.004956057,0.006304714,0.009258565,0.011657006,0.014055448,0.000723473,0.00119738,0.001671287,0,0.000781483,0.001562966
CZ,0.00387312,0.003981698,0.004090276,0.003284683,0.00386535,0.004446018,0.065614916,0.089508758,0.1134026,0.000867864,0.001097979,0.001328095,0.200575304,0.242926788,0.285278272,0.0038737,0.005288932,0.006704164,0.012133606,0.015250808,0.01836801,0.001910656,0.002681358,0.003452061,0.002799547,0.003114439,0.003429331
DK,0.00381065,0.00392964,0.00404863,0.002196709,0.002958706,0.003720702,0.131008187,0.171250346,0.211492505,0.001502983,0.001627245,0.001751507,0.321614977,0.343793182,0.365971387,0.006166074,0.008154399,0.010142725,0.014422297,0.018111671,0.021801046,0.001064815,0.001624057,0.0021833,0.003099499,0.003364399,0.003629298
DE,0.004029294,0.004111843,0.004194392,0.00043602,0.001491465,0.002546909,0.058048374,0.08005058,0.102052786,0.001345189,0.00149575,0.001646312,0.266427831,0.297803894,0.329179956,0.009279309,0.012045944,0.014812578,0.014237986,0.017881283,0.02152458,0.000787877,0.001277885,0.001767893,0.002044497,0.00248523,0.002925964
EE,0.003761567,0.003888737,0.004015907,0.004576132,0.004941558,0.005306984,0.201231815,0.259029882,0.316827948,0.001163727,0.001344532,0.001525337,0.340010692,0.359122945,0.378235197,0.002948514,0.00413245,0.005316385,0.012272852,0.015424865,0.018576878,0.001167861,0.001752866,0.00233787,0.003013306,0.003292571,0.003571836
IE,0.004247938,0.004294046,0.004340155,0.004576132,0.004941558,0.005306984,0.117854631,0.154808402,0.191762173,0.001502983,0.001627245,0.001751507,0.381721426,0.39388189,0.406042353,0.004700053,0.006321873,0.007943693,0.009002353,0.011336741,0.01367113,0.000991823,0.001532818,0.002073813,0.002606475,0.002953545,0.003300616
EL,0.002886991,0.003159924,0.003432857,0.001856199,0.002674947,0.003493695,0.072294874,0.097858705,0.123422537,0.000666677,0.000930324,0.00119397,0.14753777,0.198728843,0.249919916,0.00134248,0.002124907,0.002907334,0.013964052,0.017538866,0.021113679,0.001004704,0.001548919,0.002093134,0.00169283,0.002192174,0.002691519
ES,0.00404268,0.004122998,0.004203316,0.002611966,0.003304753,0.00399754,0.057964301,0.079945489,0.101926677,0.001384638,0.001528624,0.001672611,0.304170051,0.329255744,0.354341437,0.003956061,0.005391883,0.006827705,0.012773629,0.016050837,0.019328045,0.000809345,0.00130472,0.001800095,0.002427194,0.002804144,0.003181095
FR,0.003815112,0.003933358,0.004051604,0.002321286,0.00306252,0.003803754,0.098464411,0.130570626,0.162676842,0.001112444,0.001301796,0.001491148,0.30640234,0.331115985,0.355829629,0.004878501,0.006544933,0.008211365,0.011849798,0.014896048,0.017942298,0.000860868,0.001369124,0.00187738,0.001579055,0.002097362,0.002615669
HR,0.002824521,0.003107866,0.003391211,0.004704862,0.005048833,0.005392804,0.076521438,0.10314191,0.129762382,0.00048916,0.000782393,0.001075625,0.153490541,0.203689485,0.25388843,0.00226492,0.003277957,0.004290994,0.005270065,0.006671382,0.008072699,0.000693418,0.001159811,0.001626204,0.004120023,0.004214836,0.004309648
IT,0.002793287,0.003081837,0.003370387,0.003276378,0.003858429,0.004440481,0.043091077,0.061353959,0.079616841,0.001009878,0.001216325,0.001422771,0.223146227,0.26173589,0.300325554,0.006190782,0.008185284,0.010179787,0.008718292,0.010981665,0.013245039,0.001060521,0.00161869,0.002176859,0.002078974,0.002513961,0.002948948
CY,0.004225627,0.004275454,0.004325281,0.002670102,0.0033532,0.004036298,0.116494182,0.153107841,0.189721499,0.000859974,0.001091405,0.001322835,0.305947615,0.330737047,0.355526479,0.000905968,0.001579267,0.002252566,0.012219685,0.015358407,0.018497129,0.001105604,0.001675044,0.002244484,0.002230674,0.002640378,0.003050082
LV,0.00075856,0.001386232,0.002013903,0.003392649,0.003955323,0.004517996,0.166716153,0.215885304,0.265054455,0.000414208,0.000719933,0.001025657,0.218185585,0.257602022,0.297018459,0.003277957,0.004544254,0.00581055,0.01132345,0.014238113,0.017152776,0.001015438,0.001562337,0.002109235,0.002971933,0.003258094,0.003544254
LT,0.0024854,0.002825265,0.00316513,0.00324731,0.003834206,0.004421103,0.133874301,0.174832989,0.215791677,0.000643008,0.0009106,0.001178191,0.210992653,0.251607912,0.292223171,0.005803686,0.007701415,0.009599144,0.011030781,0.013872277,0.016713773,0,0.000293039,0.000586078,0.003778699,0.003930399,0.004082099
LU,0.003993597,0.004082095,0.004170594,0.00176069,0.002595356,0.003430023,0.052346717,0.072923509,0.0935003,0.00108483,0.001278784,0.001472739,0.346542204,0.364565872,0.382589539,0.006339031,0.008370596,0.010402161,0.014447614,0.018143318,0.021839022,0.000953181,0.001484515,0.002015849,0.002185853,0.002603027,0.003020201
HU,0.00134756,0.001877065,0.00240657,0.004094434,0.004540143,0.004985852,0.085891722,0.114854765,0.143817808,0.000808691,0.001048669,0.001288647,0.105537665,0.163728756,0.221919846,0.003901153,0.005323249,0.006745344,0.011696122,0.014703953,0.017711784,0.002428035,0.003328083,0.004228131,0.003209826,0.003456338,0.00370285
MT,0.004176544,0.004234551,0.004292559,0,0.001128115,0.00225623,0,0.007490113,0.014980226,0.001424086,0.001561498,0.00169891,0.299002716,0.324949631,0.350896546,0,0.000446807,0.000893614,0,8.38E-05,0.000167601,0.001019732,0.001567704,0.002115675,0.002313419,0.002709332,0.003105245
NL,0.004181006,0.00423827,0.004295533,0.000357121,0.001425716,0.00249431,0.041004546,0.058745795,0.076487044,0.001491148,0.001617383,0.001743618,0.309172032,0.333424061,0.357676091,0.007261471,0.009523646,0.011785821,0.01477674,0.018554726,0.022332711,0.000558169,0.00099075,0.001423331,0.001282551,0.001850276,0.002418
AT,0.003538461,0.003702815,0.00386717,0.002346202,0.003083283,0.003820364,0.080381139,0.107966536,0.135551934,0.001132168,0.001318233,0.001504298,0.290652301,0.317990952,0.345329603,0.007818779,0.010220281,0.012621783,0.014682053,0.018436367,0.022190681,0.001644452,0.002348604,0.003052755,0.002620266,0.002965038,0.00330981
