Country,2015,2016,2017,2018,2019,2020
BE,0.048987704,0.04874813,0.050856691,0.049756743,0.046741759,0.046632303
BG,0.023536041,0.023662097,0.023628357,0.024119527,0.024057626,0.023954986
CZ,0.042610377,0.042030599,0.0422735,0.039632487,0.040757339,0.040995116
DK,0.062927946,0.063021641,0.065188692,0.062309583,0.059445404,0.059266826
DE,0.047247399,0.047439483,0.048625454,0.04736825,0.04543855,0.045588604
EE,0.073206492,0.074385388,0.076077444,0.071915577,0.071269837,0.071119649
IE,0.066292887,0.065923167,0.067837144,0.066049153,0.061832973,0.061673154
EL,0.039994781,0.037487844,0.026369063,0.040947917,0.039219994,0.039092234
ES,0.049528348,0.05057039,0.051029142,0.052433024,0.047373364,0.046919559
FR,0.055406658,0.055775391,0.057248201,0.05688649,0.053578414,0.05335993
HR,0.039124718,0.035526295,0.038168884,0.037253162,0.037533654,0.037448705
IT,0.039167298,0.040217315,0.041179901,0.042396774,0.038258948,0.038104667
CY,0.058204118,0.060359387,0.059153713,0.05881184,0.054056943,0.054019518
LV,0.058655638,0.057517926,0.060387331,0.053669902,0.05424859,0.05418341
LT,0.052898525,0.052198146,0.056064504,0.05174691,0.048486031,0.04832598
LU,0.051977503,0.051821893,0.054489584,0.05595097,0.05273774,0.052756086
HU,0.034947625,0.035587426,0.033826753,0.035777547,0.037547058,0.037372188
MT,0.040084172,0.040817391,0.042294435,0.039961141,0.034071379,0.034181469
NL,0.04898999,0.049380039,0.051051272,0.049027241,0.045247418,0.045160601
AT,0.052108446,0.05321043,0.054447255,0.05293665,0.050810077,0.05095905
PL,0.033822947,0.033126492,0.032320783,0.030403021,0.031184608,0.031154022
PT,0.051934947,0.053092339,0.053459256,0.055012461,0.050222771,0.050075442
RO,0.028405747,0.028402467,0.027350657,0.028978082,0.027921312,0.028045248
SI,0.043451108,0.045124374,0.045324534,0.045953261,0.044137732,0.044050089
SK,0.038053981,0.038900413,0.038210681,0.039526402,0.039644273,0.039642974
FI,0.097305257,0.097582059,0.09834726,0.09686701,0.09652654,0.096428489
SE,0.095545386,0.095822252,0.096608174,0.093477538,0.09234166,0.092078536
