Country,C1 low,C1 medium,C1 high,C2 low,C2 medium,C2 high,C3 low,C3 medium,C3 high,C4 low,C4 medium,C4 high,C5 low,C5 medium,C5 high,C6 low,C6 medium,C6 high,C7 low,C7 medium,C7 high,C8 low,C8 medium,C8 high,C9 low,C9 medium,C9 high
BE,0.602572783,0.835477319,1.068381855,0,0,0,0,0,0,0,0,0,-0.199489347,0.16709221,0.533673768,0.011574754,0.514468442,1.01736213,-0.318123514,0.102345607,0.522814728,-0.369570552,0.03803681,0.445644172,0,0,0
BG,0,0,0,0.077184913,0.397654094,0.718123275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZ,0.076100203,0.396750169,0.717400135,-0.235786569,0.136844526,0.509475621,0,0,0,0,0,0,0,0,0,0,0,0,-0.331362964,0.085796295,0.502955555,-0.095705521,0.380368098,0.856441718,0,0,0
DK,0.185781991,0.488151659,0.790521327,0,0,0,-0.193157093,0.258553634,0.710264361,0.171857411,0.476547842,0.781238274,0.043263153,0.369385961,0.695508769,-0.126567415,0.341790732,0.810148878,-0.161295242,0.298380948,0.758057138,-0.356319018,0.054601227,0.465521472,0.013245033,0.344370861,0.675496689
DE,0.405145565,0.670954638,0.93676371,0,0,0,0,0,0,-0.051031895,0.290806754,0.632645403,-0.322899837,0.064250136,0.451400109,0.310505347,0.888131684,1.465758021,-0.169152801,0.288558999,0.746270799,0,0,0,0,0,0
EE,0.185781991,0.488151659,0.790521327,0.099540018,0.416283349,0.733026679,0.273953719,0.842442149,1.410930579,-0.233395872,0.138836773,0.511069418,0.090728726,0.408940605,0.727152484,0,0,0,-0.30660627,0.116742163,0.540090595,0,0,0,0,0,0
IE,0.53676371,0.780636425,1.02450914,0.188960442,0.490800368,0.792640294,-0.280226089,0.149717389,0.579660867,0.111069418,0.425891182,0.740712946,0.444686284,0.703905236,0.963124189,-0.298678968,0.12665129,0.551981547,0,0,0,0,0,0,-0.31371807,0.071901608,0.457521287
EL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.194662959,0.256671301,0.708005561,-0.378404908,0.026993865,0.432392638,0,0,0
ES,0.470954638,0.725795531,0.980636425,-0.369917203,0.025068997,0.420055198,0,0,0,0.07054409,0.392120075,0.71369606,-0.133037546,0.222468712,0.57797497,0,0,0,-0.28852312,0.1393461,0.56721532,-0.378404908,0.026993865,0.432392638,-0.221759697,0.148533586,0.518826868
FR,0.295463778,0.579553148,0.863642519,0,0,0,0,0,0,-0.253658537,0.12195122,0.497560976,-0.10727052,0.243941233,0.595152986,-0.278297337,0.152128329,0.582553995,-0.335237924,0.080952595,0.497143113,0,0,0,0,0,0
