Country,low,medium,high
BE,-0.077132557,0.056077108,0.189286772
BG,0.000201357,0.001427439,0.002653521
CZ,-0.006599517,0.004610795,0.015821107
DK,-0.069477729,0.234170709,0.537819147
DE,-0.098392659,0.039896695,0.178186048
EE,0.151937543,0.492939696,0.833941848
IE,0.014185109,0.281357896,0.548530684
EL,-0.003491401,0.004063744,0.011618889
ES,-0.028857865,0.092683484,0.214224833
FR,-0.03588971,0.088049939,0.211989588
HR,0.002199496,0.004213908,0.00622832
IT,-0.002838753,0.002673757,0.008186267
CY,-0.102230823,0.190144872,0.482520567
LV,0.013609761,0.224091975,0.43457419
LT,-0.079058761,0.111162755,0.301384271
LU,0.017917477,0.135104738,0.252292
HU,-0.00706828,0.004187683,0.015443646
MT,-0.007731734,0.102706805,0.213145344
NL,-0.012404874,0.110455655,0.233316185
AT,-0.044988299,0.085067237,0.215122774
PL,-0.001003939,0.002798459,0.006600858
PT,0.010624324,0.124322743,0.238021162
RO,-0.000820706,0.000630743,0.002082191
SI,-0.002045097,0.00751783,0.017080757
SK,-0.001529882,0.004383094,0.01029607
FI,0.579023119,1,1.420976881
SE,0.545832466,0.95406723,1.362301995
