Country,low,medium,high
BE,0.476477183,0.410190727,0.34390427
BG,0.363408567,0.001018936,-0.361370695
CZ,0.576181861,0.283293424,-0.009595014
DK,0.449375207,0.609062676,0.768750144
DE,0.451984396,0.38813865,0.324292903
EE,0.546077437,0.720128313,0.894179189
IE,0.506623818,0.636268898,0.765913979
EL,0.622357952,0.314852719,0.007347486
ES,0.512314199,0.43170922,0.351104242
FR,0.64390913,0.546692718,0.449476306
HR,0.584003401,0.259514835,-0.06497373
IT,0.577463947,0.311831274,0.046198601
CY,0.426140798,0.569989305,0.713837812
LV,0.562231169,0.502026959,0.441822748
LT,0.544292692,0.486956615,0.429620538
LU,0.535530396,0.457093423,0.37865645
HU,0.57153829,0.232688017,-0.106162256
MT,0.257408755,0.208770975,0.160133195
NL,0.424744093,0.364543636,0.304343179
AT,0.558302193,0.481404682,0.404507172
PL,0.461392382,0.124258372,-0.212875638
PT,0.57509797,0.484459137,0.393820305
RO,0.417759848,0.095301921,-0.227156005
SI,0.6622055,0.3854564,0.1087073
SK,0.584180502,0.28190539,-0.020369722
FI,0.781535249,0.999592941,1.217650633
SE,0.75087547,0.953412766,1.155950061
