Country,C1 low,C1 medium,C1 high,C2 low,C2 medium,C2 high,C3 low,C3 medium,C3 high,C4 low,C4 medium,C4 high,C5 low,C5 medium,C5 high,C6 low,C6 medium,C6 high,C7 low,C7 medium,C7 high,C8 low,C8 medium,C8 high,C9 low,C9 medium,C9 high
BE,0,0,0,-0.332274172,0.084657286,0.501588743,-0.017075015,0.319104154,0.655283323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223952976,0.22005878,0.664070536
BG,0.552289157,1.190361446,1.828433735,0,0,0,-0.072946983,0.272544181,0.618035345,0.071447903,0.589309878,1.107171854,0.50725455,1.134068188,1.760881825,-0.187518142,0.177068215,0.541654572,-0.202558201,0.164534833,0.531627866,-0.149009901,0.209158416,0.567326733,0.529904482,1.162380602,1.794856723
CZ,0,0,0,0,0,0,-0.088350282,0.259708098,0.607766478,-0.29391069,0.132611637,0.559133965,-0.125813894,0.342732633,0.811279159,-0.20946299,0.158780842,0.527024673,0,0,0,0,0,0,0,0,0
DK,0,0,0,-0.307762143,0.115297322,0.538356786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,0,0,0,0.162868815,0.703586019,1.244303223,-0.021555975,0.315370021,0.652296016,0,0,0,0,0,0,0,0,0,0,0,0,-0.275990099,0.103341584,0.482673267,-0.144599559,0.319250551,0.783100661
EE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.077793904,0.26850508,0.614804064,0,0,0,0,0,0,0,0,0
IE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.378751814,0.017706821,0.414165457,-0.172821305,0.189315579,0.551452464,0,0,0,0,0,0
EL,-0.176385542,0.279518072,0.735421687,-0.253835679,0.182705402,0.619246482,-0.194493018,0.171255818,0.537004655,-0.250067659,0.187415426,0.624898512,-0.135042297,0.331197129,0.797436555,0.169869376,0.474891147,0.779912917,0,0,0,-0.356188119,0.036509901,0.429207921,-0.128728876,0.339088905,0.806906686
ES,0,0,0,-0.366591012,0.041761235,0.450113482,-0.008673216,0.326105653,0.660884523,0,0,0,0,0,0,-0.290972424,0.090856313,0.472685051,0,0,0,-0.209158416,0.159034653,0.527227723,-0.335047759,0.081190301,0.497428361
FR,0,0,0,-0.307762143,0.115297322,0.538356786,-0.38339348,0.013838767,0.411071013,0,0,0,0,0,0,0,0,0,0,0,0,-0.282673267,0.097772277,0.478217822,-0.017634093,0.477957384,0.973548861
HR,-0.124337349,0.344578313,0.813493976,0,0,0,-0.211716707,0.156902744,0.525522195,-0.074695535,0.406630582,0.887956698,-0.002153294,0.497308382,0.996770059,0.006850508,0.33904209,0.671233672,0.219422511,0.516185426,0.812948341,-0.215841584,0.153465347,0.522772277,0,0,0
IT,-0.33253012,0.084337349,0.501204819,0,0,0,0.121834739,0.434862282,0.747889826,-0.396211096,0.00473613,0.405683356,-0.369443732,0.038195335,0.445834401,0,0,0,-0.137734914,0.218554238,0.57484339,0,0,0,-0.303306392,0.12086701,0.545040411
CY,0,0,0,-0.239128461,0.201089424,0.641307308,0,0,0,-0.381596752,0.02300406,0.427604871,0,0,0,0.282728592,0.568940493,0.855152395,0,0,0,0,0,0,-0.096987509,0.378765614,0.854518736
LV,1.385060241,2.231325301,3.077590361,0,0,0,0,0,0,-0.074695535,0.406630582,0.887956698,-0.184875673,0.268905409,0.722686491,0.009985486,0.341654572,0.673323657,-0.386486408,0.011261327,0.409009062,-0.356188119,0.036509901,0.429207921,0,0,0
LT,-0.002891566,0.496385542,0.995662651,0,0,0,0,0,0,-0.29391069,0.132611637,0.559133965,-0.230094847,0.212381441,0.654857729,0,0,0,-0.392622593,0.00614784,0.404918272,0.158415842,0.465346535,0.772277228,0,0,0
LU,0,0,0,-0.253835679,0.182705402,0.619246482,0.008550473,0.340458728,0.672366982,-0.337753721,0.077807848,0.493369418,0,0,0,0,0,0,0,0,0,-0.342821782,0.047648515,0.438118812,-0.303306392,0.12086701,0.545040411
HU,0.101204819,0.626506024,1.151807229,0,0,0,-0.336343402,0.053047165,0.442437732,-0.250067659,0.187415426,0.624898512,0.19533453,0.744168162,1.293001794,-0.372481858,0.022931785,0.418345428,0,0,0,0,0,0,0,0,0
MT,0,0,0,0.182478438,0.728098048,1.273717658,0.517979592,0.764982993,1.011986395,0,0,0,0,0,0,0.470827286,0.725689405,0.980551524,0.8,1,1.2,-0.369554455,0.025371287,0.42029703,-0.208082292,0.239897134,0.687876561
NL,0,0,0,0.128551975,0.660689968,1.192827962,0.160202957,0.466835798,0.773468638,0,0,0,0,0,0,0,0,0,0,0,0,-0.149009901,0.209158416,0.567326733,0.188684791,0.735855988,1.283027186
AT,0,0,0,-0.342078983,0.072401271,0.486881525,-0.236361986,0.136365012,0.509092009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL,0.292048193,0.865060241,1.438072289,0,0,0,-0.087370072,0.26052494,0.608419952,-0.103924222,0.370094723,0.844113667,0.246090746,0.807613432,1.369136119,-0.275297533,0.103918723,0.483134978,-0.364301739,0.02974855,0.42379884,0,0,0,0,0,0
PT,0,0,0,-0.072446664,0.40944167,0.891330005,-0.164946689,0.195877759,0.556702207,-0.206224628,0.242219215,0.690663058,0,0,0,-0.112278665,0.239767779,0.591814224,0,0,0,0.098267327,0.415222772,0.732178218,0,0,0
RO,1.593253012,2.491566265,3.389879518,-0.214616432,0.23172946,0.678075352,0.060081511,0.383401259,0.706721008,0.202976996,0.753721245,1.304465494,0.145501154,0.681876442,1.21825173,0.452017417,0.710014514,0.968011611,0.043203869,0.369336558,0.695469246,0,0,0,-0.287435709,0.140705364,0.568846436
SI,-0.367228916,0.040963855,0.449156627,0,0,0,-0.075327493,0.270560423,0.616448338,0,0,0,-0.380517816,0.02435273,0.429223276,0,0,0,-0.284846013,0.095961656,0.476769325,-0.108910891,0.242574257,0.594059406,0,0,0
SK,0,0,0,0,0,0,-0.084709503,0.262742081,0.610193665,0,0,0,-0.127659574,0.340425532,0.808510638,-0.337997097,0.051669086,0.441335269,-0.233711139,0.138574051,0.510859241,0,0,0,0,0,0
FI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.255940594,0.120049505,0.496039604,0,0,0
SE,0,0,0,-0.366591012,0.041761235,0.450113482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.057310801,0.428361499,0.914033799
