Country,low,medium,high
BE,-0.011750677,0.165508017,0.342766711
BG,0.176139766,0.643537211,1.110934656
CZ,-0.102944957,0.28270633,0.668357618
DK,-0.001810201,0.000678158,0.003166517
DE,-0.011984288,0.168132184,0.348248657
EE,-0.001190735,0.004109814,0.009410362
IE,-0.009676006,0.004519941,0.018715889
EL,-0.159910795,0.241166152,0.6422431
ES,-0.013506999,0.170306218,0.354119435
FR,-0.200173884,0.010395155,0.220964194
HR,-0.10628838,0.312877322,0.732043024
IT,-0.101901543,0.245643016,0.593187575
CY,0.001790092,0.011658428,0.021526764
LV,-0.083630224,0.130441372,0.344512968
LT,-0.107054166,0.095244662,0.29754349
LU,-0.000586326,0.176956652,0.35449963
HU,-0.09508152,0.348717581,0.792516681
MT,0.289895758,0.432209709,0.57452366
NL,0.083303759,0.248087509,0.41287126
AT,-0.123493142,0.070512295,0.264517732
PL,0.048936934,0.48569094,0.922444946
PT,-0.086864538,0.109001407,0.304867351
RO,0.105262916,0.521291259,0.937319603
SI,-0.209791685,0.152850326,0.515492336
SK,-0.108544967,0.284510306,0.677565579
FI,-0.001116965,0.000523915,0.002164795
SE,-0.002417346,0.002197362,0.00681207
