Country,low,medium,high
BE,-0.073926963,0.083937352,0.241801667
BG,0.000791247,0.002772034,0.004752822
CZ,-0.010001876,0.007546863,0.025095603
DK,-0.146785037,0.25399378,0.654772597
DE,-0.108721207,0.056940667,0.222602541
EE,0.141320981,0.582916075,1.024511169
IE,-0.055174591,0.299017273,0.653209136
EL,-0.005288367,0.005543839,0.016376045
ES,-0.045001835,0.102051378,0.24910459
FR,-0.042011317,0.107267454,0.256546226
HR,0.003420144,0.00659372,0.009767296
IT,-0.004992448,0.00660641,0.018205268
CY,-0.24918857,0.136442738,0.522074045
LV,-0.020732436,0.277907217,0.576546871
LT,-0.10419274,0.160741751,0.425676241
LU,0.086402685,0.21733676,0.348270835
HU,-0.007673037,0.008110612,0.023894261
MT,-0.085734511,0.058377919,0.202490348
NL,-0.034405339,0.117904397,0.270214134
AT,-0.071475026,0.090788695,0.253052417
PL,-0.001281241,0.004301763,0.009884768
PT,-0.023365254,0.118694837,0.260754928
RO,-0.003053282,0.000864035,0.004781353
SI,-0.152918052,0.012690994,0.17830004
SK,-0.00108448,0.007049813,0.015184107
FI,0.722804813,1.281311896,1.839818978
SE,0.626251834,1.151600227,1.676948621
