Country,low,medium,high
BE,1.018124619,0.702431575,0.386738531
BG,0.753223873,0,-0.753223873
CZ,1.238843869,0.639066219,0.039288569
DK,1.005551547,0.998355508,0.991159468
DE,1.022825927,0.702694099,0.382562271
EE,1.003765549,0.991951343,0.980137137
IE,1.008160652,0.990445944,0.972731236
EL,1.261459254,0.603181311,-0.055096632
ES,1.017856068,0.68516975,0.352483432
FR,1.357297663,0.976104908,0.594912154
HR,1.23389207,0.56006363,-0.11376481
IT,1.080832904,0.506332154,-0.068168596
CY,0.997442666,0.982279474,0.967116283
LV,1.140888441,0.840464334,0.540040226
LT,1.099507565,0.784568342,0.469629119
LU,0.996504782,0.680013874,0.363522966
HU,1.261798392,0.557997473,-0.145803447
MT,0.477831225,0.223457779,-0.030915667
NL,0.849916255,0.552852917,0.25578958
AT,1.223166987,0.872964453,0.52276192
PL,0.993362593,0.294581605,-0.404199383
PT,1.152187219,0.799680039,0.447172859
RO,0.836151269,0.167158377,-0.501834515
SI,1.080589788,0.742753535,0.404917282
SK,1.216628338,0.596998802,-0.022630734
FI,1.002636609,0.999934889,0.997233169
SE,1.013228063,0.993989841,0.974751618
