Country,low,medium,high
BE,0.481232022,0.407136448,0.333040874
BG,0.355732946,0.000865311,-0.354002323
CZ,0.599237511,0.321695142,0.044152773
DK,0.458915231,0.611459626,0.76400402
DE,0.459576412,0.388597507,0.317618602
EE,0.565899634,0.733674044,0.901448454
IE,0.502795718,0.63185289,0.760910061
EL,0.559176604,0.253693492,-0.05178962
ES,0.498141967,0.414166669,0.330191371
FR,0.643819651,0.540585671,0.437351691
HR,0.581525579,0.270436373,-0.040652834
IT,0.54355034,0.280715997,0.017881654
CY,0.424735125,0.566108808,0.707482492
LV,0.584499646,0.551610746,0.518721846
LT,0.542937769,0.494867771,0.446797773
LU,0.512464193,0.432341841,0.352219489
HU,0.557969977,0.236075922,-0.085818133
MT,0.256262845,0.2027336,0.149204355
NL,0.433676078,0.366114735,0.298553392
AT,0.563045989,0.478799476,0.394552964
PL,0.483510589,0.161104852,-0.161300885
PT,0.551381296,0.458855368,0.36632944
RO,0.384431758,0.081934959,-0.22056184
SI,0.643470276,0.374466178,0.105462079
SK,0.564337147,0.27764071,-0.009055728
FI,0.787844828,0.999682396,1.211519964
SE,0.762890578,0.96329211,1.163693643
