Country,C1 low,C1 medium,C1 high,C2 low,C2 medium,C2 high,C3 low,C3 medium,C3 high,C4 low,C4 medium,C4 high,C5 low,C5 medium,C5 high,C6 low,C6 medium,C6 high,C7 low,C7 medium,C7 high,C8 low,C8 medium,C8 high,C9 low,C9 medium,C9 high
BE,0,0,0,-0.389106854,0.013616432,0.416339718,-0.025786044,0.311844963,0.649475971,-0.376271186,0.029661017,0.43559322,0,0,0,0,0,0,0,0,0,0,0,0,-0.190605952,0.26174256,0.714091072
BG,0.479695044,1.099618806,1.719542567,0,0,0,-0.076675614,0.269436989,0.615549591,0.130829134,0.663536418,1.196243701,0.575251816,1.21906477,1.862877724,-0.235169016,0.137359153,0.509887323,-0.197424399,0.168813001,0.535050401,-0.223987974,0.146676688,0.517341351,0.55546791,1.194334887,1.833201864
CZ,0,0,0,0,0,0,-0.086314864,0.26140428,0.609123424,-0.334218965,0.082226294,0.498671553,-0.207866814,0.240166482,0.688199779,-0.286268962,0.094775865,0.475820692,0,0,0,0,0,0,0,0,0
DK,0,0,0,-0.285252712,0.14343411,0.572120932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,0,0,0,0.06702054,0.583775675,1.10053081,-0.016146794,0.319877672,0.655902137,0,0,0,0,0,0,0,0,0,0,0,0,-0.258778052,0.117684957,0.494147965,-0.20996773,0.237540337,0.685048404
EE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108736159,0.242719867,0.594175894,0,0,0,0,0,0,0,0,0
IE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.170787108,0.191010743,0.552808594,-0.368946634,0.025877805,0.420702244,0,0,0
EL,-0.192731893,0.259085133,0.71090216,-0.217124394,0.228594507,0.674313409,-0.148261221,0.209782316,0.567825853,-0.2080623,0.239922126,0.687906551,-0.000789073,0.499013659,0.998816391,0.19944393,0.499536608,0.799629286,0,0,0,-0.375904649,0.020079459,0.416063567,-0.078307637,0.402115454,0.882538544
ES,0,0,0,-0.368336026,0.039579968,0.447495961,-0.015367149,0.320527376,0.656421901,0,0,0,0,0,0,-0.30207307,0.081605775,0.46528462,0,0,0,-0.270374745,0.108021046,0.486416837,-0.353244891,0.058443887,0.470132664
FR,0,0,0,-0.310177706,0.112277868,0.534733441,-0.390943515,0.007547071,0.406037657,0,0,0,0,0,0,0,0,0,0,0,0,-0.298206808,0.08482766,0.467862128,-0.035711725,0.455360344,0.946432413
HR,-0.154307497,0.307115629,0.768538755,0,0,0,-0.187456112,0.177119907,0.541695925,-0.096747595,0.379065506,0.854878607,-0.024030846,0.469961443,0.963953732,0.02243793,0.352031608,0.681625287,0.217243464,0.514369553,0.811495642,-0.207752604,0.160206163,0.528164931,0,0,0
IT,-0.135095299,0.331130877,0.797357052,0,0,0,0.122559179,0.435465982,0.748372786,0,0,0,-0.29599187,0.130010162,0.556012195,0,0,0,-0.14125446,0.215621283,0.572497027,0,0,0,-0.222875583,0.221405522,0.665686626
CY,0,0,0,-0.37996769,0.025040388,0.430048465,0,0,0,-0.329271645,0.088410444,0.506092533,0,0,0,0.283205697,0.569338081,0.855470465,0,0,0,0,0,0,-0.279670133,0.150412334,0.580494801
LV,1.116442186,1.895552732,2.674663278,0,0,0,0,0,0,-0.049748053,0.437814934,0.92537792,-0.276623726,0.154220343,0.585064411,-0.171952588,0.19003951,0.552031608,0,0,0,-0.381702996,0.015247503,0.412198003,0,0,0
LT,0.054282084,0.567852605,1.081423126,0,0,0,0,0,0,-0.193220339,0.258474576,0.710169492,-0.248539917,0.189325104,0.627190125,0,0,0,-0.381674433,0.015271306,0.412217045,0.166820573,0.472350478,0.777880382,0,0,0
LU,0,0,0,-0.198015232,0.25248096,0.702977152,0.036727328,0.36393944,0.691151552,0,0,0,0,0,0,0,0,0,0,0,0,-0.348072587,0.043272844,0.434618276,-0.262889925,0.171387594,0.605665113
HU,0.754155019,1.442693774,2.131232529,0,0,0,-0.274351116,0.104707403,0.483765923,-0.297114063,0.128607421,0.554328905,0.163194548,0.703993185,1.244791822,-0.291536998,0.090385835,0.472308668,0,0,0,0,0,0,0,0,0
MT,0,0,0,0.15425802,0.692822525,1.23138703,0.522162794,0.768468995,1.014775196,0,0,0,0,0,0,0.457050876,0.714209063,0.97136725,0.765150422,0.970958685,1.176766948,-0.384022334,0.013314721,0.410651777,-0.310648978,0.111688777,0.534026533
NL,0,0,0,0.08280637,0.603507962,1.124209555,0.141908556,0.451590463,0.761272371,0,0,0,0,0,0,0,0,0,0,0,0,-0.134693439,0.221088801,0.57687104,0.075295805,0.594119756,1.112943707
AT,0,0,0,-0.315162705,0.106046619,0.527255943,-0.223248916,0.14729257,0.517834056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL,0.265616264,0.83202033,1.398424396,0,0,0,-0.091347119,0.257210734,0.605768587,-0.086852955,0.391433807,0.869720568,0.19838001,0.747975013,1.297570015,-0.296805034,0.085995805,0.468796644,-0.365302502,0.028914582,0.423131666,0,0,0,0,0,0
PT,0,0,0,-0.03351027,0.458112162,0.949734595,-0.128699213,0.226083989,0.580867191,-0.316903344,0.10387082,0.524644984,0,0,0,-0.118218623,0.234817814,0.587854251,0,0,0,0.127391818,0.439493182,0.751594545,0,0,0
RO,1.583024142,2.478780178,3.374536213,-0.23457189,0.206785137,0.648142165,0.16692808,0.472440066,0.777952053,0.209986257,0.762482822,1.314979386,0.125426667,0.656783334,1.188140001,0.394888054,0.662406712,0.929925369,0.064842364,0.387368637,0.709894909,0,0,0,-0.317102904,0.10362137,0.524345644
SI,0,0,0,0,0,0,-0.074832816,0.270972653,0.616778123,0,0,0,-0.355710315,0.055362107,0.466434528,0,0,0,-0.242381407,0.131348827,0.505079062,-0.090626007,0.257811661,0.606249329,0,0,0
SK,0,0,0,0,0,0,-0.027841472,0.310132107,0.648105685,0,0,0,-0.153958813,0.307551484,0.769061781,-0.173006195,0.189161504,0.551329203,-0.239170192,0.13402484,0.507219872,0,0,0,0,0,0
FI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.280811768,0.099323526,0.479458821,0,0,0
SE,0,0,0,-0.386614355,0.016732056,0.420078468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.195769093,0.255288634,0.706346361
