Country,low,medium,high
BE,1.026238677,0.746916495,0.467594313
BG,0.711068604,0,-0.711068604
CZ,1.205837855,0.638087741,0.070337627
DK,1.002326806,0.998830008,0.995333209
DE,1.015482832,0.735283636,0.45508444
EE,1.002436242,0.994561842,0.986687441
IE,1.0081287,0.993382194,0.978635689
EL,1.121985629,0.503233775,-0.11551808
ES,1.026182161,0.738600207,0.451018254
FR,1.319565226,0.989494336,0.659423447
HR,1.16068048,0.536379183,-0.087922114
IT,1.092040341,0.557662,0.023283658
CY,0.999498017,0.985811958,0.972125899
LV,1.170661445,0.886184008,0.601706572
LT,1.166206154,0.874518198,0.582830242
LU,0.975972004,0.703402479,0.430832953
HU,1.122101434,0.466948693,-0.188204047
MT,0.546546773,0.32575225,0.104957727
NL,0.885391357,0.626045616,0.366699875
AT,1.182392174,0.880494513,0.578596853
PL,0.967972149,0.319255164,-0.329461821
PT,1.106657516,0.805795912,0.504934307
RO,0.769596898,0.163140707,-0.443315484
SI,1.289733209,0.7413048,0.192876392
SK,1.129900196,0.550619536,-0.028661124
FI,1.001795889,0.999364791,0.996933694
SE,1.004429764,0.998199379,0.991968995
