Country,low,medium,high
BE,-0.063774633,0.067356401,0.198487436
BG,0.000397287,0.001730623,0.003063958
CZ,-0.007362833,0.005302544,0.01796792
DK,-0.084496345,0.224089243,0.532674831
DE,-0.096330008,0.041911377,0.180152763
EE,0.129363026,0.472786247,0.816209468
IE,-0.002537264,0.270323585,0.543184434
EL,-0.003632422,0.004153209,0.011938839
ES,-0.029898226,0.089733131,0.209364489
FR,-0.031925923,0.091677006,0.215279936
HR,0.002370679,0.004493563,0.006616447
IT,-0.004939661,0.003769995,0.01247965
CY,-0.150027767,0.146405658,0.442839084
LV,-0.001662152,0.217037484,0.43573712
LT,-0.080330615,0.115217344,0.310765303
LU,0.048956383,0.161281203,0.273606024
HU,-0.006161481,0.005203151,0.016567782
MT,-0.034021082,0.07971495,0.193450983
NL,-0.018039202,0.106183854,0.230406909
AT,-0.056300196,0.077104439,0.210509075
PL,-0.000950971,0.00295454,0.006860051
PT,-0.003894925,0.111914824,0.227724572
RO,-0.000733382,0.000729211,0.002191803
SI,-0.002792657,0.007627555,0.018047766
SK,-0.001225902,0.004661883,0.010549669
FI,0.573893766,1,1.426106234
SE,0.521351392,0.928384841,1.33541829
