Country,C1 low,C1 medium,C1 high,C2 low,C2 medium,C2 high,C3 low,C3 medium,C3 high,C4 low,C4 medium,C4 high,C5 low,C5 medium,C5 high,C6 low,C6 medium,C6 high,C7 low,C7 medium,C7 high,C8 low,C8 medium,C8 high,C9 low,C9 medium,C9 high
BE,0.334790343,0.612325286,0.889860229,0,0,0,0,0,0,0,0,0,-0.17930179,0.183915175,0.54713214,-0.069128335,0.413589581,0.896307497,-0.322145099,0.097318626,0.516782351,-0.382046602,0.022441748,0.426930098,0,0,0
BG,0,0,0,0.094622663,0.412185553,0.729748442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZ,0.198932656,0.499110546,0.799288437,-0.245603508,0.128663743,0.502930995,0,0,0,0,0,0,0,0,0,0,0,0,-0.335779602,0.080275498,0.496330597,-0.089809943,0.387737571,0.865285085,-0.261025457,0.115812119,0.492649695
DK,0.141296061,0.451080051,0.760864041,0,0,0,-0.204841938,0.243947577,0.692737093,0.098717361,0.415597801,0.732478241,0.020674298,0.350561915,0.680449532,-0.182566704,0.27179162,0.726149944,-0.177149096,0.27856363,0.734276356,-0.394416407,0.006979491,0.408375389,-0.092577985,0.256185013,0.60494801
DE,0.343024142,0.619186785,0.895349428,0,0,0,0,0,0,-0.049702245,0.291914796,0.633531837,-0.302531608,0.08122366,0.464978928,0.215696795,0.769620994,1.323545193,-0.189923765,0.262595293,0.715114352,0,0,0,0,0,0
EE,0.096010165,0.413341804,0.730673443,0.141980152,0.451650127,0.761320102,0.229302323,0.786627903,1.343953484,-0.220384792,0.14967934,0.519743472,0.1284096,0.440341334,0.752273067,0,0,0,-0.32612841,0.092339488,0.510807386,-0.35730699,0.053366262,0.464039515,-0.140982431,0.215847974,0.572678379
IE,0.544752224,0.78729352,1.029834816,0.141980152,0.451650127,0.761320102,-0.286161297,0.142298378,0.570758054,0.098717361,0.415597801,0.732478241,0.372690319,0.643908599,0.915126879,-0.370108775,0.037364031,0.444836837,0,0,0,0,0,0,-0.369451416,0.025457153,0.420365722
EL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.208910293,0.238862134,0.686634561,0,0,0,0,0,0
ES,0.355374841,0.629479034,0.903583227,0,0,0,0,0,0,-0.012597343,0.322835547,0.658268438,-0.081492662,0.265422781,0.612338225,0,0,0,-0.291419213,0.135725984,0.562871181,0,0,0,0,0,0
FR,0.145412961,0.454510801,0.76360864,0,0,0,0,0,0,-0.268621164,0.109482364,0.487585891,-0.068419165,0.276317363,0.62105389,-0.34728062,0.065899224,0.479079069,-0.355450486,0.055686892,0.46682427,0,0,0,0,0,0
HR,0,0,0,0.180613893,0.483844911,0.787075929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.480530656,0.733775547,0.987020437
IT,0,0,0,-0.248096007,0.126586661,0.501269328,0,0,0,-0.365093907,0.02908841,0.423270728,0,0,0,-0.179405883,0.275742647,0.730891176,0,0,0,-0.395962633,0.005046709,0.406056051,0,0,0
CY,0.524167726,0.770139771,1.016111817,0,0,0,-0.294572015,0.131784981,0.558141977,0,0,0,-0.071082285,0.274098096,0.619278477,0,0,0,-0.32981341,0.087733237,0.505279885,-0.379727263,0.025340921,0.430409106,0,0,0
LV,0,0,0,-0.213201015,0.15566582,0.524532656,0.015915788,0.519894735,1.023873682,0,0,0,0,0,0,0,0,0,-0.391931993,0.010085008,0.41210201,0,0,0,-0.164216565,0.196486196,0.557188957
LT,0,0,0,-0.256819755,0.119316871,0.495453496,-0.187122728,0.266096589,0.719315907,0,0,0,0,0,0,-0.228925418,0.213843227,0.656611873,0,0,0,0,0,0,0.28884905,0.574040875,0.8592327
LU,0.310088945,0.591740788,0.87339263,0,0,0,0,0,0,-0.294594595,0.087837838,0.47027027,0.166661685,0.472218071,0.777774457,-0.160440954,0.299448807,0.759338569,-0.175394334,0.280757082,0.736908499,0,0,0,0,0,0
HU,0,0,0,-0.002584814,0.331179321,0.664943457,0,0,0,0,0,0,0,0,0,0,0,0,-0.366101893,0.042372634,0.45084716,0.096510254,0.620637818,1.144765382,-0.030620294,0.307816422,0.646253137
MT,0.47888183,0.732401525,0.98592122,0,0,0,0,0,0,0.024507558,0.353756299,0.683005039,-0.111755388,0.240203844,0.592163075,0,0,0,0,0,0,0,0,0,0,0,0
