Country,low,medium,high
BE,-0.017347068,0.16732005,0.351987167
BG,0.191020017,0.661125859,1.131231702
CZ,-0.136084729,0.239269553,0.614623835
DK,-0.001538312,0.000773512,0.003085336
DE,-0.010236101,0.175010833,0.360257768
EE,-0.001610663,0.003595307,0.008801277
IE,-0.005374094,0.004375202,0.014124499
EL,-0.080647854,0.328424997,0.737497849
ES,-0.017309704,0.172818162,0.362946029
FR,-0.211272835,0.006945566,0.225163967
HR,-0.10623002,0.306511711,0.719253443
IT,-0.06085025,0.292441091,0.645732431
CY,0.000331874,0.009380081,0.018428289
LV,-0.112828694,0.075246695,0.263322085
LT,-0.109883186,0.082959264,0.275801715
LU,0.01588553,0.196088291,0.376291053
HU,-0.080724415,0.352414003,0.785552422
MT,0.299789654,0.445762623,0.591735592
NL,0.075770737,0.247230913,0.418691089
AT,-0.120584183,0.079008168,0.278600518
PL,0.02117444,0.450058015,0.878941589
PT,-0.070514042,0.128393345,0.327300732
RO,0.152325449,0.553269319,0.95421319
SI,-0.191550117,0.171030086,0.533610289
SK,-0.085880379,0.297097045,0.68007447
FI,-0.001187309,0.000419953,0.002027215
SE,-0.002928631,0.001190437,0.005309505
