Country,low,medium,high
BE,-0.081913027,0.086513501,0.254940029
BG,0.000510281,0.002222836,0.00393539
CZ,-0.009456925,0.006810661,0.023078246
DK,-0.108528283,0.287823348,0.684174979
DE,-0.123727606,0.053831557,0.231390721
EE,0.166155675,0.607253247,1.048350819
IE,-0.003258898,0.347207381,0.697673659
EL,-0.004665533,0.005334439,0.015334411
ES,-0.038401699,0.115254485,0.268910669
FR,-0.041006101,0.117751225,0.276508551
HR,0.003044933,0.005771595,0.008498257
IT,-0.006344569,0.004842234,0.016029036
CY,-0.192697756,0.188045469,0.568788693
LV,-0.002134891,0.27876597,0.559666831
LT,-0.103177762,0.147986763,0.399151288
LU,0.06288026,0.207151826,0.351423391
HU,-0.007913892,0.006682999,0.02127989
MT,-0.043697152,0.102386994,0.248471139
NL,-0.023169802,0.136384022,0.295937846
AT,-0.072312757,0.099034017,0.27038079
PL,-0.00122144,0.003794853,0.008811145
PT,-0.005002695,0.14374496,0.292492615
RO,-0.000941966,0.000936608,0.002815182
SI,-0.003586927,0.009796938,0.023180803
SK,-0.001574566,0.005987788,0.013550141
FI,0.737117154,1.28441394,1.831710727
SE,0.669630995,1.192430432,1.715229868
