Country,crisp S,crisp R,crisp Q
BE,0.452868604,0.353836066,0.483639359
BG,0.699892164,0.349944523,0.589890124
CZ,0.514705563,0.347332766,0.504988498
DK,0.324985426,0.265108435,0.342498458
DE,0.465039606,0.35700289,0.492062447
EE,0.223475249,0.173082029,0.209964301
IE,0.298221362,0.282262067,0.346869104
EL,0.557218022,0.345146149,0.521834253
ES,0.436139392,0.355476029,0.477750257
FR,0.389882925,0.306032099,0.410228868
HR,0.575807243,0.337040587,0.522413863
IT,0.530323755,0.374590075,0.537813263
CY,0.348700155,0.279264894,0.366491094
LV,0.376330051,0.221319649,0.323785192
LT,0.42387275,0.264957634,0.386367878
LU,0.424678753,0.367012317,0.48359997
HU,0.576637292,0.330706938,0.516771211
MT,0.524098324,0.427540132,0.585304238
NL,0.446883799,0.374571225,0.500658087
AT,0.412843344,0.330838889,0.443995391
PL,0.599038704,0.345862455,0.541127654
PT,0.413490227,0.346371409,0.459027236
RO,0.639838214,0.39470318,0.605647692
SI,0.486084555,0.348633426,0.493484544
SK,0.542916476,0.362394032,0.531841156
FI,0.016136467,0.049105335,0
SE,0.031863888,0.061768583,0.019020262
