Country,low,medium,high
BE,0.227792616,0.336939356,0.446086096
BG,0.263731127,0.354336867,0.444942608
CZ,0.220361319,0.330746608,0.441131897
DK,0.126403865,0.25244873,0.378493594
DE,0.231411335,0.339954955,0.448498575
EE,0.021245614,0.164816854,0.308388094
IE,0.146005259,0.268783225,0.391561191
EL,0.243661022,0.329249237,0.439466137
ES,0.229666596,0.338501006,0.447335415
FR,0.173167192,0.291418169,0.409669146
HR,0.208600482,0.320945911,0.433291339
IT,0.25150815,0.356702301,0.461896451
CY,0.1425804,0.265929176,0.389277951
LV,0.082270842,0.208489192,0.343325964
LT,0.126231545,0.25230513,0.378378714
LU,0.242849072,0.349486403,0.456123733
HU,0.201363044,0.314914712,0.428466381
MT,0.312013993,0.407123836,0.50223368
NL,0.25148661,0.356684351,0.461882091
AT,0.201513824,0.315040362,0.428566901
PL,0.218681199,0.329346508,0.440011817
PT,0.219262779,0.329831158,0.440399537
RO,0.274491323,0.375854945,0.477218567
SI,0.221847578,0.331985157,0.442122737
SK,0.237571774,0.345088654,0.452605534
FI,0.000986619,0.005105181,0.176534611
SE,0.00099933,0.020624544,0.193034246
