Country,low,medium,high
BE,0.062570447,0.514573058,0.809555975
BG,0.163247808,0.620448863,0.939119676
CZ,0.084138954,0.547350354,0.853542061
DK,-0.095227552,0.37951407,0.697235999
DE,0.068927113,0.52394425,0.821941694
EE,-0.232136235,0.263465765,0.602048073
IE,-0.085663932,0.378745987,0.686136212
EL,0.061313013,0.528441469,0.838550232
ES,0.056060186,0.504687163,0.796294447
FR,-0.024845225,0.438798988,0.745423509
HR,0.072452178,0.541724386,0.853976901
IT,0.112235575,0.562331058,0.855406847
CY,-0.053693601,0.414168394,0.725010696
LV,-0.086284249,0.375487906,0.714118225
LT,-0.068760108,0.416342838,0.744426091
LU,0.046786116,0.492660442,0.781515076
HU,0.056608579,0.533416562,0.855680174
MT,0.194042657,0.622982567,0.894902785
NL,0.096020105,0.540276467,0.827513137
AT,0.012624575,0.473718887,0.777793507
PL,0.116741177,0.587590275,0.901419681
PT,0.02041209,0.474285328,0.771138874
RO,0.148465417,0.61122163,0.916958151
SI,0.065203727,0.522726811,0.823230202
SK,0.085478036,0.548210729,0.853923729
FI,-0.37569364,0,0.37569364
SE,-0.35711602,0.043944011,0.417482102
