Country,low,medium,high
BE,0.273444694,0.444053538,0.614662381
BG,0.476460079,0.696801859,0.917143639
CZ,0.346278142,0.537838501,0.72939886
DK,0.148210789,0.331732801,0.515254812
DE,0.289201678,0.466290924,0.643380169
EE,0.050467256,0.245903721,0.441340185
IE,0.130358842,0.297324606,0.464290371
EL,0.331921052,0.526126251,0.72033145
ES,0.255989967,0.419536959,0.583083951
FR,0.204584733,0.380125988,0.555667243
HR,0.362770215,0.560775731,0.758781247
IT,0.336476537,0.510819843,0.685163149
CY,0.185520967,0.362920059,0.540319151
LV,0.200005037,0.412341909,0.624678781
LT,0.225126052,0.428850037,0.632574021
LU,0.22930986,0.387695461,0.546081062
HU,0.364872772,0.578080985,0.791289198
MT,0.382496392,0.532357864,0.682219337
NL,0.286976138,0.450476212,0.613976286
AT,0.237550734,0.415857254,0.594163773
PL,0.41881544,0.627504817,0.836194194
PT,0.23028857,0.396565395,0.562842219
RO,0.438793249,0.637881819,0.836970388
SI,0.299453557,0.479048561,0.658643565
SK,0.348013729,0.538713644,0.729413559
FI,-0.200508726,0.022735979,0.245980683
SE,-0.161093267,0.052934307,0.26696188
