Country,C1 low,C1 medium,C1 high,C2 low,C2 medium,C2 high,C3 low,C3 medium,C3 high,C4 low,C4 medium,C4 high,C5 low,C5 medium,C5 high,C6 low,C6 medium,C6 high,C7 low,C7 medium,C7 high,C8 low,C8 medium,C8 high,C9 low,C9 medium,C9 high
BE,0.026960784,0.06127451,0.095588235,0.108029197,0.284671533,0.461313869,0.453126801,0.671505764,0.889884726,0.18852459,0.348360656,0.508196721,0.10134821,0.201650395,0.30195258,-0.168774052,0.164925783,0.498625618,-0.17769092,0.129702011,0.437094942,-0.0304,0.336,0.7024,0.335144928,0.480072464,0.625
BG,0.370098039,0.490196078,0.610294118,-0.099270073,0.025547445,0.150364964,0.435878963,0.657132565,0.878386167,0.467213115,0.696721311,0.926229508,0.566713157,0.783356578,1,0.162726773,0.441176471,0.719626168,0.020144317,0.294564709,0.568985101,0.1328,0.472,0.8112,0.585144928,0.792572464,1
CZ,0.026960784,0.06127451,0.095588235,0.049635036,0.211678832,0.373722628,0.431123919,0.653170029,0.875216138,0.204918033,0.368852459,0.532786885,0.234774523,0.368433287,0.50209205,0.184167125,0.45904343,0.733919736,-0.16115454,0.143482328,0.448119196,-0.3328,0.084,0.5008,0.135869565,0.230978261,0.326086957
DK,0.071078431,0.116421569,0.161764706,0.227737226,0.434306569,0.640875912,0.249827089,0.502089337,0.754351585,0.008196721,0.12295082,0.237704918,0.066480707,0.158066016,0.249651325,-0.115997801,0.208905992,0.533809786,-0.310483063,0.019041892,0.348566847,0.0368,0.392,0.7472,0.125,0.217391304,0.309782609
DE,0.036764706,0.073529412,0.110294118,0.402919708,0.653284672,0.903649635,0.451743516,0.670353026,0.888962536,0.032786885,0.153688525,0.274590164,0.134356113,0.242910274,0.351464435,-0.366684992,0,0.366684992,-0.295149329,0.031820004,0.358789337,0.0656,0.416,0.7664,0.327898551,0.471014493,0.614130435
EE,0.066176471,0.110294118,0.154411765,-0.119708029,0,0.119708029,0.063688761,0.346974063,0.630259366,0.049180328,0.174180328,0.299180328,0.016736402,0.095885635,0.175034868,0.225398571,0.493402969,0.761407367,-0.165163359,0.140141645,0.445446649,-0.0976,0.28,0.6576,0.121376812,0.212862319,0.304347826
IE,-0.012254902,0.012254902,0.036764706,-0.119708029,0,0.119708029,0.284884726,0.531304035,0.777723343,-0.040983607,0.06147541,0.163934426,-0.030218503,0.037192004,0.10460251,0.116547554,0.402693788,0.688840022,0.046702746,0.316696733,0.58669072,-0.0064,0.356,0.7184,0.172101449,0.276268116,0.380434783
EL,0.227941176,0.3125,0.397058824,0.216058394,0.419708029,0.623357664,0.398357349,0.625864553,0.853371758,0.254098361,0.430327869,0.606557377,0.285448629,0.431775918,0.578103208,0.387025838,0.628092358,0.869158879,-0.277410303,0.046602526,0.370615354,0.0512,0.404,0.7568,0.46557971,0.643115942,0.820652174
ES,0.017156863,0.049019608,0.080882353,0.052554745,0.215328467,0.37810219,0.455720461,0.673667147,0.891613833,0.032786885,0.153688525,0.274590164,0.080892608,0.176080893,0.271269177,0.106652007,0.394447499,0.682242991,-0.201443175,0.109908465,0.421260106,0.128,0.468,0.808,0.273550725,0.40307971,0.532608696
FR,0.046568627,0.085784314,0.125,0.145985401,0.332116788,0.518248175,0.340043228,0.577269452,0.814495677,0.12295082,0.266393443,0.409836066,0.072989307,0.166201767,0.259414226,0.065420561,0.36008796,0.65475536,-0.135297655,0.165029732,0.465357119,0.0656,0.416,0.7664,0.385869565,0.543478261,0.701086957
