Country,crisp S,crisp R,crisp Q
BE,0.452899915,0.357423595,0.482976533
BG,0.696985386,0.351358419,0.585931455
CZ,0.519390279,0.349264722,0.504904124
DK,0.332292745,0.267523135,0.344757167
DE,0.468462515,0.3587229,0.491126103
EE,0.234175986,0.179743599,0.218543908
IE,0.305408271,0.283965079,0.348248858
EL,0.56034878,0.340914775,0.515286224
ES,0.443397197,0.358827991,0.480066771
FR,0.392214637,0.308202854,0.409681556
HR,0.556011918,0.335631571,0.508388043
IT,0.532560348,0.377419521,0.537239699
CY,0.373288348,0.28566564,0.380065501
LV,0.383954781,0.22562106,0.328356452
LT,0.427298288,0.263940491,0.383681485
LU,0.411059317,0.365849972,0.472273621
HU,0.574245371,0.323918716,0.505491801
MT,0.542934839,0.431283368,0.592503904
NL,0.456735768,0.380027685,0.505937769
AT,0.419074282,0.330806944,0.442892126
PL,0.608494688,0.348586409,0.543932294
PT,0.419612082,0.343551601,0.455114789
RO,0.641767815,0.383400147,0.591478116
SI,0.489559325,0.350812424,0.493079734
SK,0.541668587,0.357146537,0.522232529
FI,0.017599211,0.049851468,0
SE,0.042971311,0.069882633,0.030129159
