Country,low,medium,high
BE,0.06833556,0.524602419,0.814365734
BG,0.150822554,0.626810409,0.93928245
CZ,0.081927023,0.54653001,0.844629453
DK,-0.092320501,0.386383053,0.698583064
DE,0.074724352,0.532751989,0.824276083
EE,-0.240764054,0.260169794,0.594600099
IE,-0.078866616,0.389874744,0.692112561
EL,0.085963057,0.55691211,0.861357619
ES,0.06744114,0.521692657,0.80944063
FR,-0.016933019,0.451307442,0.75304436
HR,0.079315818,0.550013929,0.854208497
IT,0.12383164,0.578865585,0.867395986
CY,-0.052367856,0.421691387,0.729247087
LV,-0.120609999,0.367412726,0.699210357
LT,-0.062093876,0.425307371,0.746205075
LU,0.064162959,0.513899507,0.797132511
HU,0.068327326,0.547117687,0.859404503
MT,0.201220182,0.634129789,0.900535853
NL,0.098760459,0.547563655,0.829863308
AT,0.02070263,0.484518012,0.78182985
PL,0.113174319,0.58555818,0.891438498
PT,0.039447042,0.496740675,0.787530764
RO,0.172176691,0.633104002,0.92752777
SI,0.073340528,0.53470562,0.829567168
SK,0.100827586,0.563858415,0.8603857
FI,-0.376165194,0,0.376165194
SE,-0.361509463,0.036544511,0.408937077
