Country,low,medium,high
BE,0.241414742,0.357423595,0.473432449
BG,0.236360827,0.350564028,0.467944795
CZ,0.231624094,0.349264722,0.46690535
DK,0.133534189,0.267523135,0.40151208
DE,0.242973908,0.3587229,0.474471893
EE,0.028198746,0.179743599,0.331288452
IE,0.153264522,0.283965079,0.414665635
EL,0.221604158,0.340914775,0.460225393
ES,0.243100017,0.358827991,0.474555966
FR,0.182349852,0.308202854,0.434055856
HR,0.215264312,0.335631571,0.455998829
IT,0.265409853,0.377419521,0.48942919
CY,0.155305195,0.28566564,0.416026084
LV,0.09090377,0.222888177,0.365804114
LT,0.129235017,0.263940491,0.398645966
LU,0.251526394,0.365849972,0.48017355
HU,0.201208886,0.323918716,0.446628545
MT,0.330046469,0.431283368,0.532520267
NL,0.26853965,0.380027685,0.491515721
AT,0.209474761,0.330806944,0.452139128
PL,0.230810118,0.348586409,0.466362699
PT,0.224768348,0.343551601,0.462334853
RO,0.272586604,0.383400147,0.49421369
SI,0.233481336,0.350812424,0.468143512
SK,0.241082272,0.357146537,0.473210803
FI,0.000750855,0.005580723,0.187493573
SE,0.001219343,0.032434863,0.213441463
