Country,low,medium,high
BE,0.282503037,0.452899915,0.623296792
BG,0.478474024,0.696985386,0.915496749
CZ,0.333713954,0.519390279,0.705066604
DK,0.14947168,0.332292745,0.515113811
DE,0.293561408,0.468462515,0.643363622
EE,0.038498437,0.234175986,0.429853535
IE,0.138020356,0.305408271,0.472796186
EL,0.363944138,0.56034878,0.756753422
ES,0.276934259,0.443397197,0.609860135
FR,0.21571309,0.392214637,0.568716184
HR,0.362402783,0.556011918,0.749621052
IT,0.356486112,0.532560348,0.708634584
CY,0.193236128,0.373288348,0.553340568
LV,0.175965495,0.383954781,0.591944067
LT,0.226452416,0.427298288,0.628144161
LU,0.251772352,0.411059317,0.570346283
HU,0.36740595,0.574245371,0.781084792
MT,0.393806175,0.542934839,0.692063504
NL,0.29355632,0.456735768,0.619915215
AT,0.242964383,0.419074282,0.59518418
PL,0.405626184,0.608494688,0.811363193
PT,0.25276868,0.419612082,0.586455484
RO,0.449928484,0.641767815,0.833607146
SI,0.310502708,0.489559325,0.668615941
SK,0.356194371,0.541668587,0.727142803
FI,-0.207688102,0.017599211,0.242886523
SE,-0.175755434,0.042971311,0.261698056
