Country,C1 low,C1 medium,C1 high,C2 low,C2 medium,C2 high,C3 low,C3 medium,C3 high,C4 low,C4 medium,C4 high,C5 low,C5 medium,C5 high,C6 low,C6 medium,C6 high,C7 low,C7 medium,C7 high,C8 low,C8 medium,C8 high,C9 low,C9 medium,C9 high
BE,0.026834239,0.054347826,0.081861413,0.118326489,0.30736653,0.496406571,0.453343763,0.671192474,0.889041184,0.149359886,0.321834993,0.4943101,0.109013337,0.204085061,0.299156784,-0.148086368,0.187888055,0.523862478,-0.174020247,0.136930201,0.44788065,0.045696877,0.39286621,0.740035542,0.285066667,0.411333333,0.5376
BG,0.365828804,0.478091033,0.590353261,-0.092145791,0.044276181,0.180698152,0.437886171,0.658311147,0.878736123,0.440967283,0.686344239,0.931721195,0.576242147,0.788121074,1,0.200815494,0.478639607,0.75646372,0.032297559,0.308861707,0.585425854,0.178979436,0.503935009,0.828890581,0.593333333,0.796666667,1
CZ,0.049252717,0.082370924,0.11548913,0.047997947,0.219455852,0.390913758,0.43495827,0.65587123,0.876784189,0.173541963,0.352062589,0.530583215,0.250243558,0.380622837,0.511002116,0.173848578,0.456167176,0.738485775,-0.160807609,0.147940733,0.456689075,-0.24219345,0.152957603,0.548108657,0.160266667,0.255333333,0.3504
DK,0.058763587,0.094259511,0.129755435,0.182494867,0.387577002,0.592659138,0.250758886,0.502371743,0.7539846,-0.055476529,0.065789474,0.187055477,0.053515638,0.134712937,0.215910236,-0.058289315,0.262718932,0.58372718,-0.314529934,0.019838796,0.354207525,0.057882711,0.403021071,0.748159431,0.113866667,0.197333333,0.2808
DE,0.025475543,0.052649457,0.07982337,0.400154004,0.659650924,0.919147844,0.456271663,0.673632391,0.890993118,0.001422475,0.136913229,0.272403983,0.143212282,0.246833742,0.350455202,-0.373552034,0,0.373552034,-0.302150525,0.030154969,0.362460464,0.156130998,0.484894643,0.813658289,0.277066667,0.401333333,0.5256
EE,0.066236413,0.103600543,0.140964674,-0.111652977,0.019892197,0.151437372,0.052953376,0.337533818,0.62211426,0.06685633,0.218705548,0.370554765,0.023616757,0.097339336,0.171061914,0.267537763,0.534241498,0.800945232,-0.170160184,0.14014692,0.450454025,0.021325209,0.372556486,0.723787763,0.1272,0.214,0.3008
IE,-0.0078125,0.011039402,0.029891304,-0.111652977,0.019892197,0.151437372,0.287809744,0.533247458,0.778685172,-0.055476529,0.065789474,0.187055477,-0.044176437,0.012597843,0.069372123,0.090167732,0.386433139,0.682698545,0.049506297,0.323202322,0.596898346,0.083777609,0.424600152,0.765422696,0.190133333,0.292666667,0.3952
EL,0.199388587,0.270040761,0.340692935,0.224589322,0.440195072,0.655800821,0.416142204,0.640191175,0.864240145,0.246088193,0.442745377,0.63940256,0.3364464,0.48837639,0.64030638,0.430173293,0.669771106,0.909368919,-0.28375146,0.045487524,0.374726508,0.079207921,0.420792079,0.762376238,0.331466667,0.469333333,0.6072
ES,0.0234375,0.050101902,0.076766304,0.131160164,0.323408624,0.515657084,0.456508479,0.673829737,0.891150995,-0.012802276,0.11913229,0.251066856,0.081869184,0.170154869,0.258440555,0.165508294,0.44921694,0.732925586,-0.203795445,0.112117536,0.428030518,0.148514851,0.478547855,0.808580858,0.217866667,0.327333333,0.4368
FR,0.058084239,0.093410326,0.128736413,0.167094456,0.368326489,0.569558522,0.342428005,0.578762675,0.815097346,0.085348506,0.241820768,0.39829303,0.078241005,0.165619646,0.252998287,0.072097118,0.371374293,0.670651469,-0.141745361,0.16382594,0.469397241,0.130236101,0.463315562,0.796395024,0.349066667,0.491333333,0.6336
HR,0.208899457,0.281929348,0.354959239,-0.127566735,0,0.127566735,0.404236844,0.630270041,0.856303239,0.310099573,0.522759602,0.73541963,0.326771257,0.47628246,0.625793664,0.336762117,0.591928459,0.847094801,0.300189319,0.53210484,0.76402036,0.189642041,0.512820513,0.835998985,-0.044,0,0.044
IT,0.213654891,0.287873641,0.362092391,0.049024641,0.22073922,0.392453799,0.49840329,0.708742079,0.919080869,0.122332859,0.288051209,0.453769559,0.213558639,0.334766688,0.455974737,-0.0607914,0.260633862,0.582059123,0.068585551,0.339101699,0.609617848,0.059405941,0.404290429,0.749174917,0.271733333,0.394666667,0.5176
CY,-0.004415761,0.015285326,0.034986413,0.123973306,0.314425051,0.504876797,0.291641849,0.536440879,0.781239908,0.176386913,0.355618777,0.53485064,0.078980079,0.166543488,0.254106897,0.474376795,0.706607358,0.93883792,-0.166589201,0.14312274,0.45283468,0.043412034,0.390962173,0.738512313,0.248266667,0.365333333,0.4824
LV,0.5234375,0.675101902,0.826766304,0.034650924,0.202772074,0.370893224,0.150176894,0.418553416,0.686929938,0.3371266,0.556543385,0.775960171,0.221621258,0.344844963,0.468068667,0.234176629,0.506440552,0.778704476,-0.106392627,0.193286552,0.49296573,0.075399848,0.417618685,0.759837522,0.1336,0.222,0.3104
LT,0.260529891,0.346467391,0.432404891,0.05261807,0.225231006,0.397843943,0.242685631,0.49564403,0.74860243,0.254623044,0.45341394,0.652204836,0.233312057,0.359458461,0.485604864,-0.021592067,0.293299972,0.608192012,-0.086735214,0.209667729,0.506070671,0.435643564,0.717821782,1,0.0088,0.066,0.1232
LU,0.030910326,0.059442935,0.087975543,0.236396304,0.454953799,0.673511294,0.472332058,0.687016053,0.901700048,0.095305832,0.254267425,0.413229018,0.013000974,0.084069607,0.15513824,-0.075803911,0.248123436,0.572050783,-0.316230402,0.018421739,0.35307388,0.097486672,0.436024372,0.774562072,0.2552,0.374,0.4928
HU,0.433763587,0.563009511,0.692255435,-0.052104723,0.094327515,0.240759754,0.377842683,0.608274907,0.838707131,0.19487909,0.378733997,0.562588905,0.404709914,0.573705782,0.742701649,0.171068483,0.453850431,0.736632379,-0.131423519,0.172427475,0.476278469,-0.425742574,0,0.425742574,0.0968,0.176,0.2552
MT,0.003057065,0.024626359,0.046195652,0.454055441,0.727027721,1,0.619781986,0.809890993,1,-0.027027027,0.101351351,0.22972973,0.090267746,0.180653072,0.271038398,0.566119915,0.783059957,1,0.654158778,0.827079389,1,0.073876618,0.416349327,0.758822036,0.235466667,0.349333333,0.4632
NL,0.002377717,0.023777174,0.04517663,0.409907598,0.671842916,0.933778234,0.504280619,0.713639854,0.922999089,-0.051209104,0.071123755,0.193456615,0.073739376,0.159992609,0.246245843,-0.169215087,0.17028079,0.509776666,-0.338336489,0,0.338336489,0.237623762,0.552805281,0.867986799,0.394933333,0.548666667,0.7024
AT,0.100203804,0.146059783,0.191915761,0.164014374,0.364476386,0.564938398,0.393364861,0.621210055,0.84905525,0.078236131,0.232930299,0.387624467,0.103839823,0.197618168,0.291396513,-0.225651005,0.123250857,0.47215272,-0.331976738,0.005299793,0.342576323,-0.147753237,0.231657781,0.611068799,0.188,0.29,0.392
PL,0.312839674,0.41185462,0.510869565,0.011550308,0.173896304,0.3362423,0.433429734,0.65459745,0.875765165,0.315789474,0.529871977,0.743954481,0.419357006,0.592014647,0.764672288,0.168288388,0.451533685,0.734778982,-0.076158302,0.218481822,0.513121946,-0.0312262,0.328763646,0.688753491,0.030133333,0.092666667,0.1552
PT,0.124660326,0.176630435,0.228600543,0.338039014,0.582007187,0.825975359,0.42208412,0.645142771,0.868201422,0.183499289,0.364509246,0.545519203,0.056942251,0.138996204,0.221050156,0.262533593,0.530071356,0.797609119,-0.186892791,0.126203081,0.439298954,0.409748667,0.696242701,0.982736735,0.113333333,0.196666667,0.28
RO,0.63892663,0.819463315,1,0.213809035,0.426719713,0.63963039,0.511880243,0.719972874,0.928065505,0.486486486,0.743243243,1,0.388987805,0.554053146,0.719118487,0.533314799,0.755722361,0.978129923,0.20173221,0.450057249,0.698382288,-0.111195735,0.262122366,0.635440467,0.2328,0.346,0.4592
SI,0.128736413,0.181725543,0.234714674,0.045431211,0.216247433,0.387063655,0.438445916,0.658777602,0.879109287,0.105263158,0.266714083,0.428165007,0.188698895,0.303692008,0.418685121,-0.211750533,0.134834584,0.481419702,0.003253562,0.284658376,0.566063189,0.266565118,0.576923077,0.887281036,0.1288,0.216,0.3032
SK,0.114470109,0.163892663,0.213315217,-0.026950719,0.125770021,0.27849076,0.452719431,0.670672197,0.888624963,0.105263158,0.266714083,0.428165007,0.272684516,0.408674035,0.544663554,0.23362061,0.505977203,0.778333797,0.005328134,0.286387185,0.567446237,-0.261233816,0.137090632,0.53541508,0.0552,0.124,0.1928
FI,-0.016644022,0,0.016644022,0.010010267,0.171971253,0.333932238,-0.352087206,0,0.352087206,0.045519203,0.192034139,0.338549075,-0.043370175,0.013605671,0.070581516,0.05069039,0.353535354,0.656380317,-0.187164866,0.125976352,0.43911757,0.14166032,0.472835745,0.80401117,0.083466667,0.159333333,0.2352
SE,0.057404891,0.092561141,0.127717391,0.11986653,0.309291581,0.498716632,-0.278997338,0.060908223,0.400813784,-0.108108108,0,0.108108108,-0.054254712,0,0.054254712,-0.012973774,0.300481883,0.613937541,-0.297695299,0.033867658,0.365430615,-0.001523229,0.353516121,0.708555471,0.282933333,0.408666667,0.5344
