,2015,2016,2017,2018,2019,2020
BE,13.0,14.0,13.0,14.0,15.0,15.0
BG,26.0,26.0,27.0,27.0,26.0,26.0
CZ,18.0,18.0,18.0,21.0,20.0,20.0
DK,5.0,5.0,5.0,5.0,5.0,5.0
DE,15.0,15.0,15.0,16.0,17.0,17.0
EE,3.0,3.0,3.0,3.0,3.0,3.0
IE,6.0,6.0,6.0,4.0,6.0,6.0
EL,20.0,20.0,24.0,17.0,18.0,18.0
ES,12.0,12.0,14.0,13.0,14.0,14.0
FR,9.0,9.0,9.0,9.0,9.0,9.0
HR,19.0,21.0,19.0,20.0,19.0,19.0
IT,24.0,23.0,21.0,23.0,23.0,23.0
CY,7.0,7.0,8.0,7.0,8.0,8.0
LV,4.0,4.0,4.0,6.0,4.0,4.0
LT,8.0,8.0,7.0,8.0,7.0,7.0
LU,14.0,13.0,12.0,12.0,12.0,12.0
HU,21.0,19.0,20.0,18.0,13.0,13.0
MT,25.0,25.0,25.0,26.0,27.0,27.0
NL,17.0,17.0,17.0,19.0,22.0,22.0
AT,10.0,10.0,10.0,10.0,10.0,10.0
PL,23.0,24.0,23.0,24.0,24.0,24.0
PT,11.0,11.0,11.0,11.0,11.0,11.0
RO,27.0,27.0,26.0,25.0,25.0,25.0
SI,16.0,16.0,16.0,15.0,16.0,16.0
SK,22.0,22.0,22.0,22.0,21.0,21.0
FI,1.0,1.0,1.0,1.0,1.0,1.0
SE,2.0,2.0,2.0,2.0,2.0,2.0
