,2015,2016,2017,2018,2019,2020
BE,0.41812784737717107,0.4125425196667617,0.4317703183545222,0.4101907267948051,0.3832243302783427,0.383451666627757
BG,0.0007497555884806162,0.0007137194920284935,0.0007260433439078562,0.0010189358143989171,0.0010817172550002991,0.001127166849996586
CZ,0.3419865047361362,0.3292585323499198,0.3290347161947403,0.2832934238861631,0.320445033267076,0.32369127934945974
DK,0.6176116757907171,0.6165969113472972,0.6310032139271249,0.6090626756779575,0.5975398264888151,0.5971890946882189
DE,0.39649696240064014,0.3942830118603591,0.40582961442494253,0.3881386496954136,0.37098125652881825,0.37406655700304925
EE,0.735574570090137,0.7439211617044377,0.7533145342257669,0.72012831279274,0.7244867825788629,0.7239860845375978
IE,0.6435824854597948,0.6374594567490158,0.6503160730195815,0.6362688984881484,0.6120440811121184,0.611504502756101
EL,0.299811186395053,0.25560680127750424,0.05581325212675198,0.3148527186077623,0.30485407528780606,0.30359730709786176
ES,0.4212788943512709,0.4267148214136219,0.43182882399560163,0.43170922033642595,0.38684196800329407,0.38146229045677893
FR,0.5404508142624107,0.5417685181346692,0.5509241077114169,0.5466927181501733,0.5326293093142165,0.5296566391601678
HR,0.29537177183935087,0.23232050998598303,0.27393232179275784,0.2595148353538156,0.2819389952674216,0.2827716881312409
IT,0.273254804032105,0.286645581444118,0.299615349377944,0.31183127372591285,0.2567388231250384,0.2556896611455507
CY,0.5720338813192767,0.5891764683816474,0.5743240422408402,0.5699893049214676,0.5439063227832932,0.544435030424756
LV,0.5787393001557595,0.5584591803302201,0.5990874070866656,0.5020269585424093,0.5282045329748657,0.5289067990014598
LT,0.511497251750096,0.49480343072297117,0.5509762636445759,0.4869566147807001,0.4535554862454845,0.4542132199474711
LU,0.42610660907886655,0.4198828523795104,0.4451876072572041,0.4570934230099966,0.42484023412145505,0.4253229449498389
HU,0.21680069190739118,0.22471335286068994,0.19191768074608673,0.2326880171062498,0.28334119019413917,0.2823411619220635
MT,0.23608324489091137,0.23539691471872987,0.2579232435916999,0.2087709747424878,0.13198139785929255,0.13467380095762574
NL,0.3883444832083126,0.3864918691641761,0.40431886681732376,0.36454363602950746,0.32259488714307033,0.3221780346418346
AT,0.47558238194570523,0.4820721463060288,0.49158299273095907,0.48140468211290177,0.4710041949451972,0.4729786584805887
PL,0.1943104815547603,0.18002925735305503,0.16438790272468445,0.12425837209332866,0.147857042560732,0.14889038370904895
PT,0.4542589323563224,0.46050011223221193,0.46392963118208963,0.484459137252478,0.4476107517648469,0.44615508829080286
RO,0.08715661906029604,0.0820120316105599,0.06546559942577546,0.09530192146611889,0.0817340222034266,0.08428017450973338
SI,0.355330742498,0.37897743426308095,0.3771542602525346,0.38545640001487375,0.3766985625148352,0.3766380179524108
SK,0.2622696471561476,0.2721544545477921,0.25769512582726445,0.28190538980861846,0.300916993212797,0.3019910995338762
FI,0.9994894450648906,0.9998764571284804,0.9996331826728255,0.9995929411460616,0.9995963195611434,0.9999674445414384
SE,0.9762212323136819,0.976273055752026,0.9765369753027426,0.9534127658751022,0.9476513177874457,0.945985195703535
