,2015,2016,2017,2018,2019,2020
BE,0.48144623673977066,0.48363935863758795,0.4794470996431242,0.4753181343639203,0.4863323707491977,0.4865193368939806
BG,0.5916460821605477,0.589890124491917,0.6165780846818648,0.5858163024430125,0.5784193891059213,0.5785854065037431
CZ,0.5014997872510149,0.5049884975756272,0.5086269842113982,0.5080954309585106,0.5016759644360271,0.5004937741878863
DK,0.3412634571783679,0.34249845772120874,0.3376563160345389,0.34025914682625,0.3512011519641597,0.3515731209741143
DE,0.49167958917731885,0.4920624472765009,0.4916967930418681,0.4846893267803253,0.49118231327502626,0.4902696512206846
EE,0.21283174940230615,0.2099643012289267,0.20669262829516397,0.22421084227403495,0.22660501968932822,0.2268022314914156
IE,0.3437021447671354,0.34686910368438445,0.34302000345164235,0.33949106342385843,0.35594527064277076,0.356296859950444
EL,0.5103272556962553,0.5218342528969928,0.5836260631248674,0.48918654552337665,0.4946824559324246,0.4949722042944104
ES,0.4807140623415827,0.47775025692982975,0.48024855180875703,0.4654322396909158,0.4847929395981244,0.48641711419994393
FR,0.4103128725284318,0.41022886792458524,0.4084157988597308,0.3995440651865394,0.41203917425524544,0.4126930028150199
HR,0.5062370584506155,0.5224138630279742,0.5160424518312423,0.5024694625824101,0.4993677787821911,0.49944319892609046
IT,0.5411508776682754,0.5378132633845671,0.5385471066336744,0.523076134567662,0.5384238864419294,0.5388304551885842
CY,0.37373185208199866,0.36649109424443393,0.37545278269945326,0.37491347056601665,0.39332600758816605,0.39316957709317957
LV,0.31692379990518876,0.32378519235185665,0.3159595824848521,0.34470244691161356,0.3348513760309727,0.33473865891130117
LT,0.3820772310744318,0.3863678784272394,0.37468905575471434,0.3770879144590099,0.3894446413912781,0.3897442342486399
LU,0.4816784497760289,0.48359996957285983,0.4771085750989855,0.4534055192291335,0.46543204578122366,0.46513085540300425
HU,0.5185770060209074,0.516771210820791,0.5294173437145753,0.49478046898775974,0.48427421215310124,0.48469283563985477
MT,0.5872493529859235,0.5853042384370288,0.5839524726716615,0.5837276440364582,0.6059914616192109,0.6054181474257543
NL,0.5010140690789877,0.5006580869395474,0.4982798327466942,0.5010215441357198,0.5150725950439825,0.5151670280890162
AT,0.4471387820063088,0.4439953908337797,0.44323146594022755,0.434463964162763,0.4420319385205078,0.4411622437837086
PL,0.5372081509420472,0.5411276543170254,0.5496458779832349,0.5483353517327331,0.5422997762884383,0.5421823776956167
PT,0.4624031169094641,0.4590272362401954,0.4618208096672759,0.4350304051359677,0.4533968361917277,0.4537297511232389
RO,0.6048937594817625,0.6056476923291751,0.6154157696540599,0.5719667072469907,0.5740380924888162,0.5733084420494701
SI,0.4992172477896926,0.49348454412032733,0.4972155604645876,0.48347188761585813,0.4894784487798186,0.48958473777978856
SK,0.5343503949317628,0.5318411561451035,0.5395194409906756,0.5089558055727903,0.5067041002972519,0.5064713681251459
FI,2.451720157527204e-05,0.0,0.0,0.0,0.0,0.0
SE,0.017603529940109483,0.01902026190652356,0.018818594849500297,0.037063525863238425,0.04222698417751662,0.04287144258342636
