Country,F-TOPSIS,F-VIKOR,F-EDAS,F-DARIA-TOPSIS
BE,14.0,14.0,14.0,16
BG,27.0,25.0,27.0,17
CZ,18.0,17.0,18.0,18
DK,5.0,5.0,5.0,9
DE,16.0,15.0,15.0,12
EE,3.0,3.0,3.0,4
IE,4.0,6.0,4.0,8
EL,23.0,21.0,22.0,27
ES,13.0,13.0,13.0,19
FR,8.0,9.0,8.0,10
HR,22.0,20.0,21.0,20
IT,19.0,23.0,19.0,24
CY,6.0,7.0,6.0,14
LV,7.0,4.0,7.0,15
LT,12.0,8.0,9.0,22
LU,9.0,12.0,12.0,3
HU,24.0,18.0,23.0,5
MT,21.0,27.0,24.0,26
NL,15.0,19.0,17.0,21
AT,10.0,10.0,10.0,11
PL,25.0,24.0,25.0,25
PT,11.0,11.0,11.0,13
RO,26.0,26.0,26.0,23
SI,17.0,16.0,16.0,6
SK,20.0,22.0,20.0,7
FI,1.0,1.0,1.0,1
SE,2.0,2.0,2.0,2
