,Ai,Variability,dir list
0,BE,0.017371750437104157,$\downarrow$
1,BG,0.00524408971937517,$\uparrow$
2,CZ,0.013742424692671397,$\downarrow$
3,DK,0.01834174896363019,$\downarrow$
4,DE,0.012783939017474363,$\downarrow$
5,EE,0.013481207855787445,$\downarrow$
6,IE,0.018961632754630364,$\downarrow$
7,EL,0.06016627159632015,$\downarrow$
8,ES,0.022145481752344705,$\downarrow$
9,FR,0.014915406116927016,$\downarrow$
10,HR,0.015421556897196768,$\downarrow$
11,IT,0.021778910475199472,$\downarrow$
12,CY,0.02302022491324586,$\downarrow$
13,LV,0.024741013655889706,$\downarrow$
14,LT,0.02818745981764647,$\downarrow$
15,LU,0.014699715885371176,$\uparrow$
16,HU,0.020200178523502504,$\uparrow$
17,MT,0.04403877391537261,$\downarrow$
18,NL,0.024169130055152945,$\downarrow$
19,AT,0.01365687976470821,$\downarrow$
20,PL,0.020965037012719893,$\downarrow$
21,PT,0.01888265068565818,$\downarrow$
22,RO,0.009804301586980212,$\downarrow$
23,SI,0.010769955831952033,$\uparrow$
24,SK,0.009170584365685311,$\uparrow$
25,FI,0.0037728347431278553,$\downarrow$
26,SE,0.010355025855335907,$\downarrow$
